row_order,row_type,parent_section,raw_item,normalized_item,unit,2024 本公司,2025 nan,nan nan
1,DETAIL,,手续费及佣金,手续费及佣金,,2117405.27,3.45,201158.0
2,DETAIL,,职工薪酬,职工薪酬,,903525.94,9.99,94983.0
3,DETAIL,,其他业务成本,其他业务成本,,489702.23,5.78,34291.0
4,DETAIL,,社会保险费和住房公积金,社会保险费和住房公积金,,309872.43,9.51,30476.0
5,DETAIL,,折旧和摊销费,折旧和摊销费,,209436.14,2.41,19637.0
6,DETAIL,,保险保障基金,保险保障基金,,118920.6,2.43,13913.0
7,DETAIL,,行政办公支出,行政办公支出,,116159.58,8.05,9670.0
8,DETAIL,,劳动保险费,劳动保险费,,68702.66,8.63,8666.0
9,DETAIL,,电子设备运转费,电子设备运转费,,49389.33,2.68,4739.0
10,DETAIL,,广告及宣传费,广告及宣传费,,47629.42,0.07,4238.0
11,DETAIL,,租赁费,租赁费,,23042.28,6.0,2888.0
12,DETAIL,,监管费,监管费,,13642.75,8.23,1711.0
13,DETAIL,,车船使用费,车船使用费,,2605.51,9.1,204.0
14,DETAIL,,其他,其他,,104735.89,8.95,11320.0
15,TOTAL,,合计,合计,,4574770.03,5.28,437902.0
16,DETAIL,,计入未到期责任负债的保险获取现金流量,计入未到期责任负债的保险获取现金流量,,3059685.49,7.03,288802.0
17,DETAIL,,计入保险服务费用,计入保险服务费用,,466892.08,6.5,52828.0
18,DETAIL,,手续费及佣金支出,手续费及佣金支出,,27162.45,8.58,6837.0
19,DETAIL,,业务及管理费,业务及管理费,,534150.7,3.52,55226.0
20,DETAIL,,其他业务成本,其他业务成本,,486879.31,9.65,34206.0
21,DETAIL,,银行存款减值 (转回) / 损失,银行存款减值(转回)/损失,,,194202.15,79496.0
22,DETAIL,,存出资本保证金减值 (转回) / 损失,存出资本保证金减值(转回)/损失,,,9336.61,2734.0
23,DETAIL,,债权投资减值转回,债权投资减值转回,,,-294035.53,46768.0
24,DETAIL,,其他债权投资减值损失,其他债权投资减值损失,,694003.95,8.11,31374.0
25,DETAIL,,其他减值损失,其他减值损失,,3562.86,8.68,4976.0
26,TOTAL,,合计,合计,,607070.04,6.53,23451.0
27,DETAIL,,递延所得税,递延所得税,,2270334.55,7.27,170388.0
28,TOTAL,,合计,合计,,2270334.55,7.27,170388.0
29,DETAIL,,利润总额,利润总额,,3156241.98,8.19,337532.0
30,DETAIL,,按适用税率计算的所得税费用,按适用税率计算的所得税费用,,789060.5,2.05,84383.0
31,DETAIL,,非应纳税收入 (注),非应纳税收入,,,-358054.4,595812.0
32,DETAIL,,不得扣除的成本、费用和损失,不得扣除的成本、费用和损失,,19459.0,4.82,2922.0
33,DETAIL,,使用前期未确认递延所得税资产的可抵扣暂时性差异,使用前期未确认递延所得税资产的可抵扣暂时性差异,,1819869.45,2.69,142664.0
34,DETAIL,,按实际税率计算的所得税费用,按实际税率计算的所得税费用,,2270334.55,7.27,170388.0
35,DETAIL,,净利润,净利润,,885907.43,0.92,167144.0
36,DETAIL,,加：信用减值损失,加：信用减值损失,,607070.04,6.53,23451.0
37,DETAIL,,折旧与摊销,折旧与摊销,,268787.42,9.29,25483.0
38,DETAIL,,资产处置收益,资产处置收益,,,-668.06,103.0
39,DETAIL,,公允价值变动收益,公允价值变动收益,,,-2480802.43,650260.0
40,DETAIL,,投资收益,投资收益,,,-1774795.58,3298285.0
41,DETAIL,,利息收入,利息收入,,,-4159440.8,4414132.0
42,DETAIL,,保险合同负债的增加,保险合同负债的增加,,27895929.95,0.5,2486994.0
43,DETAIL,,递延所得税,递延所得税,,2270334.55,7.27,170388.0
44,DETAIL,,其他利息支出,其他利息支出,,323432.21,8.88,27311.0
45,DETAIL,,经营性应收项目的增加,经营性应收项目的增加,,,-30616.25,292656.0
46,DETAIL,,经营性应付项目的增加,经营性应付项目的增加,,835461.75,0.65,92071.0
47,DETAIL,,经营活动产生的现金流量净额,经营活动产生的现金流量净额,,24640600.23,5.3,2127301.0
48,DETAIL,,现金及现金等价物净增加额,现金及现金等价物净增加额,,396243.27,3.76,21508.0
50,DETAIL,农银人寿保险股份有限公司,活期存款,活期存款,,,1530467.56,2273627.52
51,DETAIL,农银人寿保险股份有限公司,结算备付金,结算备付金,,,1299698.87,771195.03
52,DETAIL,农银人寿保险股份有限公司,其他货币资金,其他货币资金,,,386.63,814.27
57,DETAIL,的分摊比例在不同的分部之间分配。,一、营业收入,一、营业收入,,13723143.69,10328906.86,967050.34
58,DETAIL,的分摊比例在不同的分部之间分配。,二、营业支出,二、营业支出,,10338713.83,7409240.61,787481.85
59,DETAIL,的分摊比例在不同的分部之间分配。,三、营业利润,三、营业利润,,3384429.86,2919666.25,179568.49
60,DETAIL,的分摊比例在不同的分部之间分配。,四、资产总额,四、资产总额,,238635161.78,197517663.01,683731.09
61,DETAIL,的分摊比例在不同的分部之间分配。,五、负债总额,五、负债总额,,232955489.86,192816614.29,667457.85
62,DETAIL,的分摊比例在不同的分部之间分配。,一、营业收入,一、营业收入,,12658896.75,9524699.53,712669.0
63,DETAIL,的分摊比例在不同的分部之间分配。,二、营业支出,二、营业支出,,9509272.77,6771760.98,639010.65
64,DETAIL,的分摊比例在不同的分部之间分配。,三、营业利润,三、营业利润,,3149623.98,2752938.55,73658.35
65,DETAIL,的分摊比例在不同的分部之间分配。,四、资产总额,四、资产总额,,213492099.36,174895598.69,546116.84
66,DETAIL,的分摊比例在不同的分部之间分配。,五、负债总额,五、负债总额,,207902106.86,170316201.66,531817.53
88,DETAIL,保率以及费用假设等。在其他变量不变的情况下，本公司考虑一些重要的非金融假设的变动对本公司,死亡率/发病率增加10%,死亡率/发病率增加10%,,-333212.8,-333871.03,-145337.06
