row_order,row_type,parent_section,raw_item,normalized_item,unit,2021 本公司,2021 本集团,2022 本公司,2022 本集团
1,DETAIL,,工资及福利费,工资及福利费,,349232729.0,405251811.0,321213616.0,366354777.0
2,DETAIL,,服务费,服务费,,121917508.0,128187335.0,90997150.0,100192954.0
3,DETAIL,,使用权资产折旧,使用权资产折旧,,77303434.0,85419469.0,76246198.0,84362233.0
4,DETAIL,,社会统筹保险费,社会统筹保险费,,69826086.0,74744501.0,74919141.0,80307620.0
5,DETAIL,,住房公积金,住房公积金,,33299119.0,35451755.0,36352290.0,38748267.0
6,DETAIL,,保险保障基金,保险保障基金,,26335143.0,26335143.0,29282896.0,29282896.0
7,DETAIL,,物业及公杂费,物业及公杂费,,25468489.0,27326532.0,25463367.0,27270111.0
8,DETAIL,,委托投资管理费,委托投资管理费,,121681028.0,28164036.0,114456877.0,19733902.0
9,DETAIL,,业务宣传费,业务宣传费,,28298546.0,28298546.0,16868537.0,16874749.0
10,DETAIL,,无形资产摊销,无形资产摊销,,12743792.0,14015707.0,14803172.0,16677074.0
11,DETAIL,,业务招待费,业务招待费,,25236194.0,25419815.0,15720140.0,15801956.0
12,DETAIL,,培训费,培训费,,16509113.0,16509113.0,15238883.0,15238883.0
13,DETAIL,,会议费,会议费,,11881681.0,12373546.0,9859761.0,10339761.0
14,DETAIL,,软件维护修理费,软件维护修理费,,7720870.0,8019790.0,8938145.0,9508847.0
15,DETAIL,,邮电费,邮电费,,8898089.0,8898089.0,8559527.0,8559527.0
16,DETAIL,,工会经费和职工教育经费,工会经费和职工教育经费,,6442205.0,7453815.0,7227635.0,8139837.0
17,DETAIL,,长期摊销费用,长期摊销费用,,6602067.0,7201878.0,7905396.0,7905396.0
18,DETAIL,,固定资产折旧,固定资产折旧,,6895387.0,7501736.0,6585788.0,7096977.0
19,DETAIL,,差旅费,差旅费,,9674125.0,10403769.0,5716214.0,5994930.0
20,DETAIL,,租赁费,租赁费,,4773837.0,6422408.0,1056327.0,2200322.0
21,DETAIL,,其他,其他,,21905438.0,24436129.0,35415822.0,38450064.0
22,TOTAL,,总计,总计,,992644880.0,987834923.0,922826882.0,909041083.0
