pdf_name,table_query,note_number,located_title,row_order,row_type,row_level,parent_section,raw_item,normalized_item,canonical_item,mapping_status,column_ordinal,source_column_index,column_dimension_key,year,scope,restated,header_raw,value_raw,value,value_yuan,unit,original_unit,page,header_source_page,source_method
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,5,DETAIL,0,,住房公积金,住房公积金,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"35,451,755",35451755.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,5,DETAIL,0,,住房公积金,住房公积金,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"36,352,290",36352290.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,5,DETAIL,0,,住房公积金,住房公积金,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"33,299,119",33299119.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,6,DETAIL,0,,保险保障基金,保险保障基金,,UNMAPPED,0.0,1.0,2022|本集团|ORIGINAL,2022,本集团,False,本集团 | 2022,"29,282,896",29282896.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,6,DETAIL,0,,保险保障基金,保险保障基金,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"26,335,143",26335143.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,6,DETAIL,0,,保险保障基金,保险保障基金,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"29,282,896",29282896.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,6,DETAIL,0,,保险保障基金,保险保障基金,,UNMAPPED,3.0,4.0,2021|本公司|ORIGINAL,2021,本公司,False,本公司 | 2021,"26,335,143",26335143.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,7,DETAIL,0,,物业及公杂费,物业及公杂费,,UNMAPPED,0.0,1.0,2022|本集团|ORIGINAL,2022,本集团,False,本集团 | 2022,"27,270,111",27270111.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,7,DETAIL,0,,物业及公杂费,物业及公杂费,,UNMAPPED,1.0,2.0,2021|本集团|ORIGINAL,2021,本集团,False,本集团 | 2021,"27,326,532",27326532.0,,,,91,,spatial_roi+column_anchors
eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,7,DETAIL,0,,物业及公杂费,物业及公杂费,,UNMAPPED,2.0,3.0,2022|本公司|ORIGINAL,2022,本公司,False,本公司 | 2022,"25,463,367",25463367.0,,,,91,,spatial_roi+column_anchors
