row_order,row_type,parent_section,raw_item,normalized_item,unit,2023 本公司 已重述,2023 本集团 已重述,2024 本公司,2024 本集团
1,DETAIL,,工资及福利费,工资及福利费,,364635392.0,400219248.0,405062799.0,450070257.0
2,DETAIL,,服务费,服务费,,84247166.0,93215390.0,91631416.0,105996040.0
3,DETAIL,,社会统筹保险费,社会统筹保险费,,80909946.0,86485664.0,81944368.0,87610784.0
4,DETAIL,,使用权资产折旧,使用权资产折旧,,74913512.0,83525836.0,75567098.0,82793640.0
5,DETAIL,,保险保障基金,保险保障基金,,69255914.0,69255914.0,58239088.0,58239088.0
6,DETAIL,,住房公积金,住房公积金,,39291870.0,41809403.0,40766927.0,43403173.0
7,DETAIL,,会议费,会议费,,22004904.0,22484904.0,26196352.0,26676352.0
8,DETAIL,,物业及公杂费,物业及公杂费,,21962214.0,23826140.0,24180062.0,25639882.0
9,DETAIL,,无形资产摊销,无形资产摊销,,18374671.0,20520814.0,22638828.0,25027417.0
10,DETAIL,,业务宣传费,业务宣传费,,15886589.0,15961738.0,23775248.0,23775248.0
11,DETAIL,,委托投资管理费,委托投资管理费,,101103832.0,22752804.0,111270206.0,21098576.0
12,DETAIL,,培训费,培训费,,19207847.0,19207847.0,16806153.0,16806153.0
13,DETAIL,,差旅费,差旅费,,12982002.0,13665317.0,12780518.0,13437180.0
14,DETAIL,,软件维护修理费,软件维护修理费,,76475547558202.0,,9690385.0,10086101.0
15,DETAIL,,业务招待费,业务招待费,,892719811877032.0,892743811882469.0,,
16,DETAIL,,工会经费和职工教育经费育经费,工会经费和职工教育经费育经费,,77690557550795.0,8511823.0,8315811.0,
17,DETAIL,,邮电费,邮电费,,76219249911239.0,786848310130550.0,,
18,DETAIL,,长期摊销费用,长期摊销费用,,68672568473458.0,6867256.0,8473458.0,
19,DETAIL,,固定资产折旧,固定资产折旧,,59961476082436.0,6382703.0,6502953.0,
20,DETAIL,,租赁费,租赁费,,84762361454.0,626391.0,1065081.0,
21,DETAIL,,其他,其他,,28242193.0,29810673.0,28871112.0,31227974.0
22,DETAIL,,减：当期发生的保险获取现金流量,减：当期发生的保险获取现金流量,,-470586828.0,-470586828.0,-558981090.0,-558981090.0
23,DETAIL,,当期发生的其他保险履约现金流,当期发生的其他保险履约现金流,,-379523893.0,-379523893.0,-361553814.0,-361553814.0
24,TOTAL,,合计,合计,,154721947.0,148691678.0,144109167.0,140537055.0
25,DETAIL,,活期存款减值损失,活期存款减值损失,,99411417142202.0,,7142202.0,10169907.0
26,DETAIL,,其他债权投资减值损失,其他债权投资减值损失,,-2083303.0,,,10943870.0
27,DETAIL,,其他应收款坏账损失,其他应收款坏账损失,,,-2025038.0,2074733.0,
28,DETAIL,,存出资本保证金减值损失,存出资本保证金减值损失,,1593443.0,1593443.0,,
29,DETAIL,,定期存款减值损失,定期存款减值损失,,5193316.0,,519331619729916.0,19729916.0
30,DETAIL,,债权投资减值损失,债权投资减值损失,,54450245.0,54450245.0,157687984.0,157687984.0
31,DETAIL,,其他,其他,,,194855.0,-237533.0,
32,TOTAL,,合计,合计,,66539660.0,66539660.0,198066171.0,198294937.0
34,DETAIL,34其他业务成本,租赁负债利息支出,租赁负债利息支出,,26248992054397.0,3343411.0,2253253.0,
35,DETAIL,34其他业务成本,非保险合同手续费及佣金支出,非保险合同手续费及佣金支出,,2750085199150.0,2750085.0,199150.0,
36,DETAIL,34其他业务成本,非保险合同利息支出,非保险合同利息支出,,176261356673.0,176261.0,356673.0,
37,DETAIL,34其他业务成本,其他,其他,,61088554.0,62800491.0,37972599.0,38954775.0
38,TOTAL,34其他业务成本,合计,合计,,63698774.0,65609567.0,43523844.0,45224532.0
