metric,unit,农银人寿 2022,农银人寿 2023,农银人寿 2024,农银人寿 2025
业务及管理费,元,36000.0,37000.0,29000.0,30000.0
支付给职工以及为职工支付的现金,元,-1242608580.0,-1305566980.0,-1278400430.0,-1262626810.0
