company,document_year,value_year,effective_year,year_source,pdf_name,pdf_sha256,metric,standard_metric,machine_value,machine_value_raw,machine_value_yuan,machine_unit,machine_original_unit,machine_status,machine_layer,machine_confidence,machine_page,machine_label,machine_period_raw,machine_source_method,final_value,final_value_raw,final_value_yuan,final_unit,final_original_unit,final_page,final_label,final_period_raw,final_source_method,value,value_raw,value_yuan,unit,original_unit,page,matched_label,source_method,status,layer,confidence,resolution_source,review_status,reviewed_at,review_note
中银三星,2023,2023,2023,table_header,中银三星2023年报.pdf,cb203ed177ce8a5dd800d19a1ba018032b6ed8f01b847a658dca77e676c20d9e,业务及管理费,业务及管理费,39.0,39,39.0,元,元,RESOLVED,L0,1.0,41,业务及管理费,2023年度,coordinate_rows,39.0,39,39.0,元,元,41,业务及管理费,2023年度,coordinate_rows,39.0,39,39.0,元,元,41,业务及管理费,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
中银三星,2023,2023,2023,table_header,中银三星2023年报.pdf,cb203ed177ce8a5dd800d19a1ba018032b6ed8f01b847a658dca77e676c20d9e,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-562444487.39,"(562,444,487.39)",,,,RESOLVED,L0,1.0,19,支付给职工以及为职工支付的现金,2023年度,coordinate_rows,-562444487.39,"(562,444,487.39)",,,,19,支付给职工以及为职工支付的现金,2023年度,coordinate_rows,-562444487.39,"(562,444,487.39)",,,,19,支付给职工以及为职工支付的现金,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
建信人寿,2024,2024,2024,table_header,建信人寿2024年报.pdf,15ec7e559faa8b4e8de51a688c8b8b1e3b0d0b1d7142b21f20ec10b8189b9500,业务及管理费,业务及管理费,-525345339.0,"(525,345,339)",-525345339.0,元,元,RESOLVED,L0,1.0,156,业务及管理费,2024年度,coordinate_rows,-525345339.0,"(525,345,339)",-525345339.0,元,元,156,业务及管理费,2024年度,coordinate_rows,-525345339.0,"(525,345,339)",-525345339.0,元,元,156,业务及管理费,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
建信人寿,2024,2024,2024,table_header,建信人寿2024年报.pdf,15ec7e559faa8b4e8de51a688c8b8b1e3b0d0b1d7142b21f20ec10b8189b9500,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-1706129507.0,"(1,706,129,507)",-1706129507.0,元,元,RESOLVED,L0,1.0,10,支付给职工以及为职工支付的现金,2024年,pdfplumber_table,-1706129507.0,"(1,706,129,507)",-1706129507.0,元,元,10,支付给职工以及为职工支付的现金,2024年,pdfplumber_table,-1706129507.0,"(1,706,129,507)",-1706129507.0,元,元,10,支付给职工以及为职工支付的现金,pdfplumber_table,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
建信人寿,2022,2021,2021,table_header,建信人寿2022年报.pdf,e7eec2489f818fa33eec6bde52d6c9a27289c82a21c6d6db332bc3e9bcb1be06,业务及管理费,业务及管理费,2732569409.0,"(2,732,569,409",,,,RESOLVED,L0,1.0,159,业务及管理费,2021年度,pdfplumber_table,2732569409.0,"(2,732,569,409",,,,159,业务及管理费,2021年度,pdfplumber_table,2732569409.0,"(2,732,569,409",,,,159,业务及管理费,pdfplumber_table,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
建信人寿,2022,2022,2022,table_header,建信人寿2022年报.pdf,e7eec2489f818fa33eec6bde52d6c9a27289c82a21c6d6db332bc3e9bcb1be06,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-1719577158.0,"(1,719,577,158)",-1719577158.0,元,元,RESOLVED,L0,1.0,10,支付给职工以及为职工支付的现金,2022年度,coordinate_rows,-1719577158.0,"(1,719,577,158)",-1719577158.0,元,元,10,支付给职工以及为职工支付的现金,2022年度,coordinate_rows,-1719577158.0,"(1,719,577,158)",-1719577158.0,元,元,10,支付给职工以及为职工支付的现金,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
建信人寿,2025,2025,2025,table_header,建信人寿2025年报.pdf,4936c61b693884304cf367f239e99d066647a7108708557f23e8f988858be6b8,业务及管理费,业务及管理费,-703909115.0,"(703,909,115)",-703909115.0,元,元,RESOLVED,L0,1.0,145,业务及管理费,2025年度,coordinate_rows,-703909115.0,"(703,909,115)",-703909115.0,元,元,145,业务及管理费,2025年度,coordinate_rows,-703909115.0,"(703,909,115)",-703909115.0,元,元,145,业务及管理费,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
建信人寿,2025,2025,2025,table_header,建信人寿2025年报.pdf,4936c61b693884304cf367f239e99d066647a7108708557f23e8f988858be6b8,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-1722530681.0,"(1,722,530,681)",-1722530681.0,元,元,RESOLVED,L0,1.0,10,支付给职工以及为职工支付的现金,2025年,coordinate_rows,-1722530681.0,"(1,722,530,681)",-1722530681.0,元,元,10,支付给职工以及为职工支付的现金,2025年,coordinate_rows,-1722530681.0,"(1,722,530,681)",-1722530681.0,元,元,10,支付给职工以及为职工支付的现金,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
建信人寿,2023,2023,2023,table_header,建信人寿2023年报.pdf,5b964aca9e47e0e4b46e4b7be0dbb3ff6fcc7c04076fa96a23fe461bdf5fec40,业务及管理费,业务及管理费,-2512866825.0,"(2,512,866,825)",-2512866825.0,元,元,RESOLVED,L0,1.0,157,业务及管理费,2023年度,coordinate_rows,-2512866825.0,"(2,512,866,825)",-2512866825.0,元,元,157,业务及管理费,2023年度,coordinate_rows,-2512866825.0,"(2,512,866,825)",-2512866825.0,元,元,157,业务及管理费,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
建信人寿,2023,2023,2023,table_header,建信人寿2023年报.pdf,5b964aca9e47e0e4b46e4b7be0dbb3ff6fcc7c04076fa96a23fe461bdf5fec40,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,1.0,"(1,",1.0,元,元,RESOLVED,L0,1.0,10,支付给职工以及为职工支付的现金,2023年度,pdfplumber_table+cross_page_header:p9,1.0,"(1,",1.0,元,元,10,支付给职工以及为职工支付的现金,2023年度,pdfplumber_table+cross_page_header:p9,1.0,"(1,",1.0,元,元,10,支付给职工以及为职工支付的现金,pdfplumber_table+cross_page_header:p9,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
中银三星,2024,2024,2024,table_header,中银三星2024年报.pdf,d5b6dbbe98d6e39310ed52f81d29ea843dd82fc18709578048177c166908d9b7,业务及管理费,业务及管理费,1012715660.27,"1,012,715,660.27",,,,RESOLVED,L0,1.0,70,业务及管理费,2024年度,pymupdf_ocr_words,1012715660.27,"1,012,715,660.27",,,,70,业务及管理费,2024年度,pymupdf_ocr_words,1012715660.27,"1,012,715,660.27",,,,70,业务及管理费,pymupdf_ocr_words,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
中银三星,2024,2024,2024,table_header,中银三星2024年报.pdf,d5b6dbbe98d6e39310ed52f81d29ea843dd82fc18709578048177c166908d9b7,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-547547388.33,"(547,547,388.33)",,,,RESOLVED,L0,1.0,15,支付给职工以及为职工支付的现金,2024年度,pdfplumber_table,-547547388.33,"(547,547,388.33)",,,,15,支付给职工以及为职工支付的现金,2024年度,pdfplumber_table,-547547388.33,"(547,547,388.33)",,,,15,支付给职工以及为职工支付的现金,pdfplumber_table,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
中银三星,2025,2025,2025,table_header,中银三星2025年报.pdf,e115146901c46d16bb5b3ce34883955755c4266b86a8a6d5c590a36118be45ef,业务及管理费,业务及管理费,193566670.4,"193,566,670.40",,,,RESOLVED,L0,1.0,66,业务及管理费,2025年度,pymupdf_ocr_words,193566670.4,"193,566,670.40",,,,66,业务及管理费,2025年度,pymupdf_ocr_words,193566670.4,"193,566,670.40",,,,66,业务及管理费,pymupdf_ocr_words,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
中银三星,2025,2025,2025,table_header,中银三星2025年报.pdf,e115146901c46d16bb5b3ce34883955755c4266b86a8a6d5c590a36118be45ef,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-623040368.44,"(623,040,368.44)",,,,RESOLVED,L0,1.0,70,支付给职工以及为职工支付的现金,2025年度,pymupdf_ocr_words,-623040368.44,"(623,040,368.44)",,,,70,支付给职工以及为职工支付的现金,2025年度,pymupdf_ocr_words,-623040368.44,"(623,040,368.44)",,,,70,支付给职工以及为职工支付的现金,pymupdf_ocr_words,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
