metric,unit,中银三星 2022,中银三星 2023,中银三星 2024,中银三星 2025,农银人寿 2022,农银人寿 2023,农银人寿 2024,农银人寿 2025,建信人寿 2021,建信人寿 2022,建信人寿 2023,建信人寿 2024,建信人寿 2025
业务及管理费,元,40.0,39.0,1012715660.27,193566670.4,36000.0,37000.0,29000.0,30000.0,2732569409.0,,-2512866825.0,-525345339.0,-703909115.0
支付给职工以及为职工支付的现金,元,-514997301.92,-562444487.39,-547547388.33,-623040368.44,-1242608580.0,-1305566980.0,-1278400430.0,-1262626810.0,,-1719577158.0,1.0,-1706129507.0,-1722530681.0
