pdf_name,table_query,note_number,located_title,row_order,row_type,row_level,parent_section,raw_item,normalized_item,canonical_item,mapping_status,column_ordinal,source_column_index,column_dimension_key,year,scope,restated,header_raw,value_raw,value,value_yuan,unit,page,header_source_page,source_method,original_unit
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,35,DETAIL,1,计入未到期责任负债的保险,存出资本保证金,存出资本保证金,,UNMAPPED,1.0,2.0,2025|本公司|ORIGINAL,2025,本公司,False,本公司 | 2025,"253,381.59",253381.59,253381.59,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,35,DETAIL,1,计入未到期责任负债的保险,存出资本保证金,存出资本保证金,,UNMAPPED,2.0,3.0,2024|本集团|RESTATED,2024,本集团,True,本集团 | 2024 | （已重述）,0.01,0.01,0.01,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,35,DETAIL,1,计入未到期责任负债的保险,存出资本保证金,存出资本保证金,,UNMAPPED,3.0,4.0,2024|本公司|RESTATED,2024,本公司,True,本公司 | 2024 | （已重述）,0.01,0.01,0.01,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,36,DETAIL,1,计入未到期责任负债的保险,定期存款,定期存款,,UNMAPPED,0.0,1.0,2025|本集团|ORIGINAL,2025,本集团,False,本集团 | 2025,"(98,569.00)",-98569.0,-98569.0,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,36,DETAIL,1,计入未到期责任负债的保险,定期存款,定期存款,,UNMAPPED,1.0,2.0,2025|本公司|ORIGINAL,2025,本公司,False,本公司 | 2025,"(98,569.00)",-98569.0,-98569.0,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,36,DETAIL,1,计入未到期责任负债的保险,定期存款,定期存款,,UNMAPPED,2.0,3.0,2024|本集团|RESTATED,2024,本集团,True,本集团 | 2024 | （已重述）,"79,768.39",79768.39,79768.39,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,36,DETAIL,1,计入未到期责任负债的保险,定期存款,定期存款,,UNMAPPED,3.0,4.0,2024|本公司|RESTATED,2024,本公司,True,本公司 | 2024 | （已重述）,"79,768.39",79768.39,79768.39,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,37,TOTAL,1,计入未到期责任负债的保险,合计,合计,,UNMAPPED,0.0,1.0,2025|本集团|ORIGINAL,2025,本集团,False,本集团 | 2025,"436,217,252.18",436217252.18,436217252.18,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,37,TOTAL,1,计入未到期责任负债的保险,合计,合计,,UNMAPPED,1.0,2.0,2025|本公司|ORIGINAL,2025,本公司,False,本公司 | 2025,"438,377,010.45",438377010.45,438377010.45,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,37,TOTAL,1,计入未到期责任负债的保险,合计,合计,,UNMAPPED,2.0,3.0,2024|本集团|RESTATED,2024,本集团,True,本集团 | 2024 | （已重述）,"2,060,416.74",2060416.74,2060416.74,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,37,TOTAL,1,计入未到期责任负债的保险,合计,合计,,UNMAPPED,3.0,4.0,2024|本公司|RESTATED,2024,本公司,True,本公司 | 2024 | （已重述）,"2,557,725.35",2557725.35,2557725.35,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,38,DETAIL,1,计入未到期责任负债的保险,36.所得税费用当期所得税费用,36.所得税费用当期所得税费用,,UNMAPPED,0.0,1.0,2025|本集团|ORIGINAL,2025,本集团,False,本集团 | 2025,-,,,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,38,DETAIL,1,计入未到期责任负债的保险,36.所得税费用当期所得税费用,36.所得税费用当期所得税费用,,UNMAPPED,1.0,2.0,2025|本公司|ORIGINAL,2025,本公司,False,本公司 | 2025,-,,,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,38,DETAIL,1,计入未到期责任负债的保险,36.所得税费用当期所得税费用,36.所得税费用当期所得税费用,,UNMAPPED,2.0,3.0,2024|本集团|RESTATED,2024,本集团,True,本集团 | 2024 | （已重述）,-,,,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,38,DETAIL,1,计入未到期责任负债的保险,36.所得税费用当期所得税费用,36.所得税费用当期所得税费用,,UNMAPPED,3.0,4.0,2024|本公司|RESTATED,2024,本公司,True,本公司 | 2024 | （已重述）,-,,,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,39,DETAIL,1,计入未到期责任负债的保险,递延所得税费用,递延所得税费用,,UNMAPPED,0.0,1.0,2025|本集团|ORIGINAL,2025,本集团,False,本集团 | 2025,"423,038,760.36",423038760.36,423038760.36,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,39,DETAIL,1,计入未到期责任负债的保险,递延所得税费用,递延所得税费用,,UNMAPPED,1.0,2.0,2025|本公司|ORIGINAL,2025,本公司,False,本公司 | 2025,"423,407,134.66",423407134.66,423407134.66,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,39,DETAIL,1,计入未到期责任负债的保险,递延所得税费用,递延所得税费用,,UNMAPPED,2.0,3.0,2024|本集团|RESTATED,2024,本集团,True,本集团 | 2024 | （已重述）,"814,339,442.86",814339442.86,814339442.86,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,39,DETAIL,1,计入未到期责任负债的保险,递延所得税费用,递延所得税费用,,UNMAPPED,3.0,4.0,2024|本公司|RESTATED,2024,本公司,True,本公司 | 2024 | （已重述）,"814,339,442.86",814339442.86,814339442.86,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,40,SECTION_HEADER,0,,本集团所得税费用与利润总额的关系如下：,本集团所得税费用与利润总额的关系如下,,UNMAPPED,,,,,,,,,,,,134,133.0,spatial_roi,
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,41,DETAIL,1,本集团所得税费用与利润总额的关系如下,利润总额,利润总额,,UNMAPPED,0.0,1.0,2025|本集团|ORIGINAL,2025,本集团,False,本集团 | 2025,"1,128,588,948.51",1128588948.51,1128588948.51,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,41,DETAIL,1,本集团所得税费用与利润总额的关系如下,利润总额,利润总额,,UNMAPPED,1.0,2.0,2025|本公司|ORIGINAL,2025,本公司,False,本公司 | 2025,"1,127,398,278.60",1127398278.6,1127398278.6,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,41,DETAIL,1,本集团所得税费用与利润总额的关系如下,利润总额,利润总额,,UNMAPPED,2.0,3.0,2024|本集团|RESTATED,2024,本集团,True,本集团 | 2024 | （已重述）,"2,500,671,176.40",2500671176.4,2500671176.4,元,134,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,41,DETAIL,1,本集团所得税费用与利润总额的关系如下,利润总额,利润总额,,UNMAPPED,3.0,4.0,2024|本公司|RESTATED,2024,本公司,True,本公司 | 2024 | （已重述）,"2,500,671,176.40",2500671176.4,2500671176.4,元,134,,spatial_roi+column_anchors,元
