pdf_name,table_query,note_number,located_title,row_order,row_type,row_level,parent_section,raw_item,normalized_item,canonical_item,mapping_status,column_ordinal,source_column_index,column_dimension_key,year,scope,restated,header_raw,value_raw,value,value_yuan,unit,page,header_source_page,source_method,original_unit
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,5,DETAIL,1,按费用项目,社会统筹保险费,社会统筹保险费,,UNMAPPED,3.0,4.0,2024|本公司|RESTATED,2024,本公司,True,本公司 | 2024 | （已重述）,"78,392,576.95",78392576.95,78392576.95,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,6,DETAIL,1,按费用项目,使用权资产折旧费,使用权资产折旧费,,UNMAPPED,0.0,1.0,2025|本集团|ORIGINAL,2025,本集团,False,本集团 | 2025,"59,630,432.44",59630432.44,59630432.44,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,6,DETAIL,1,按费用项目,使用权资产折旧费,使用权资产折旧费,,UNMAPPED,1.0,2.0,2025|本公司|ORIGINAL,2025,本公司,False,本公司 | 2025,"59,630,432.44",59630432.44,59630432.44,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,6,DETAIL,1,按费用项目,使用权资产折旧费,使用权资产折旧费,,UNMAPPED,2.0,3.0,2024|本集团|RESTATED,2024,本集团,True,本集团 | 2024 | （已重述）,"58,405,985.40",58405985.4,58405985.4,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,6,DETAIL,1,按费用项目,使用权资产折旧费,使用权资产折旧费,,UNMAPPED,3.0,4.0,2024|本公司|RESTATED,2024,本公司,True,本公司 | 2024 | （已重述）,"58,405,985.40",58405985.4,58405985.4,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,7,DETAIL,1,按费用项目,营销培训费,营销培训费,,UNMAPPED,0.0,1.0,2025|本集团|ORIGINAL,2025,本集团,False,本集团 | 2025,"52,565,868.17",52565868.17,52565868.17,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,7,DETAIL,1,按费用项目,营销培训费,营销培训费,,UNMAPPED,1.0,2.0,2025|本公司|ORIGINAL,2025,本公司,False,本公司 | 2025,"52,565,868.17",52565868.17,52565868.17,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,7,DETAIL,1,按费用项目,营销培训费,营销培训费,,UNMAPPED,2.0,3.0,2024|本集团|RESTATED,2024,本集团,True,本集团 | 2024 | （已重述）,"78,331,657.09",78331657.09,78331657.09,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,7,DETAIL,1,按费用项目,营销培训费,营销培训费,,UNMAPPED,3.0,4.0,2024|本公司|RESTATED,2024,本公司,True,本公司 | 2024 | （已重述）,"78,331,657.09",78331657.09,78331657.09,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,8,DETAIL,1,按费用项目,研究费用,研究费用,,UNMAPPED,0.0,1.0,2025|本集团|ORIGINAL,2025,本集团,False,本集团 | 2025,"48,843,215.61",48843215.61,48843215.61,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,8,DETAIL,1,按费用项目,研究费用,研究费用,,UNMAPPED,1.0,2.0,2025|本公司|ORIGINAL,2025,本公司,False,本公司 | 2025,"48,843,215.61",48843215.61,48843215.61,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,8,DETAIL,1,按费用项目,研究费用,研究费用,,UNMAPPED,2.0,3.0,2024|本集团|RESTATED,2024,本集团,True,本集团 | 2024 | （已重述）,"29,046,956.67",29046956.67,29046956.67,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,8,DETAIL,1,按费用项目,研究费用,研究费用,,UNMAPPED,3.0,4.0,2024|本公司|RESTATED,2024,本公司,True,本公司 | 2024 | （已重述）,"29,046,956.67",29046956.67,29046956.67,元,133,,spatial_roi+column_anchors,元
