metric,unit,建信人寿 2022,建信人寿 2023,建信人寿 2024,建信人寿 2025
支付给职工以及为职工支付的现金,元,-1719577158.0,-1901167873.0,-1706129507.0,-1722530681.0
业务及管理费,元,-2924045972.0,-2512866825.0,-525345339.0,-703909115.0
