canonical_order,canonical_key,row_type,row_level,canonical_section,parent_section,canonical_item,order_source,reference_capture_run_id,reference_row_order,metadata_source_capture_run_id
1,RAW::业务及管理费::::按费用项目,SECTION_HEADER,0,,nan,按费用项目,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,1.0,中银三星2025年报__业务及管理费__20260722T090230
2,RAW::业务及管理费::按费用项目::手续费及佣金支出,DETAIL,1,按费用项目,按费用项目,手续费及佣金支出,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,2.0,中银三星2025年报__业务及管理费__20260722T090230
3,RAW::业务及管理费::按费用项目::职工工资及福利费,DETAIL,1,按费用项目,按费用项目,职工工资及福利费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,3.0,中银三星2025年报__业务及管理费__20260722T090230
4,RAW::业务及管理费::按费用项目::保险保障基金,DETAIL,1,按费用项目,按费用项目,保险保障基金,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,4.0,中银三星2025年报__业务及管理费__20260722T090230
5,RAW::业务及管理费::按费用项目::社会统筹保险费,DETAIL,1,按费用项目,按费用项目,社会统筹保险费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,5.0,中银三星2025年报__业务及管理费__20260722T090230
6,RAW::业务及管理费::按费用项目::使用权资产折旧费,DETAIL,1,按费用项目,按费用项目,使用权资产折旧费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,6.0,中银三星2025年报__业务及管理费__20260722T090230
7,RAW::业务及管理费::按费用项目::营销培训费,DETAIL,1,按费用项目,按费用项目,营销培训费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,7.0,中银三星2025年报__业务及管理费__20260722T090230
8,RAW::业务及管理费::按费用项目::研究费用,DETAIL,1,按费用项目,按费用项目,研究费用,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,8.0,中银三星2025年报__业务及管理费__20260722T090230
9,RAW::业务及管理费::按费用项目::宣传费,DETAIL,1,按费用项目,按费用项目,宣传费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,9.0,中银三星2025年报__业务及管理费__20260722T090230
10,RAW::业务及管理费::按费用项目::无形资产摊销,DETAIL,1,按费用项目,按费用项目,无形资产摊销,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,10.0,中银三星2025年报__业务及管理费__20260722T090230
11,RAW::业务及管理费::按费用项目::租赁费,DETAIL,1,按费用项目,按费用项目,租赁费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,11.0,中银三星2025年报__业务及管理费__20260722T090230
12,RAW::业务及管理费::按费用项目::电子设备运转费,DETAIL,1,按费用项目,按费用项目,电子设备运转费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,12.0,中银三星2025年报__业务及管理费__20260722T090230
13,RAW::业务及管理费::按费用项目::长期待摊费用摊销,DETAIL,1,按费用项目,按费用项目,长期待摊费用摊销,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,13.0,中银三星2025年报__业务及管理费__20260722T090230
14,RAW::业务及管理费::按费用项目::固定资产折旧费,DETAIL,1,按费用项目,按费用项目,固定资产折旧费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,14.0,中银三星2025年报__业务及管理费__20260722T090230
15,RAW::业务及管理费::按费用项目::监管费,DETAIL,1,按费用项目,按费用项目,监管费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,15.0,中银三星2025年报__业务及管理费__20260722T090230
16,RAW::业务及管理费::按费用项目::专业外包服务费,DETAIL,1,按费用项目,按费用项目,专业外包服务费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,16.0,中银三星2025年报__业务及管理费__20260722T090230
17,RAW::业务及管理费::按费用项目::邮电费,DETAIL,1,按费用项目,按费用项目,邮电费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,17.0,中银三星2025年报__业务及管理费__20260722T090230
18,RAW::业务及管理费::按费用项目::差旅费,DETAIL,1,按费用项目,按费用项目,差旅费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,18.0,中银三星2025年报__业务及管理费__20260722T090230
19,RAW::业务及管理费::按费用项目::会议费,DETAIL,1,按费用项目,按费用项目,会议费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,19.0,中银三星2025年报__业务及管理费__20260722T090230
20,RAW::业务及管理费::按费用项目::业务招待费,DETAIL,1,按费用项目,按费用项目,业务招待费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,20.0,中银三星2025年报__业务及管理费__20260722T090230
21,RAW::业务及管理费::按费用项目::税金及附加,DETAIL,1,按费用项目,按费用项目,税金及附加,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,21.0,中银三星2025年报__业务及管理费__20260722T090230
22,RAW::业务及管理费::按费用项目::咨询费,DETAIL,1,按费用项目,按费用项目,咨询费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,22.0,中银三星2025年报__业务及管理费__20260722T090230
23,RAW::业务及管理费::按费用项目::公杂费,DETAIL,1,按费用项目,按费用项目,公杂费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,23.0,中银三星2025年报__业务及管理费__20260722T090230
24,RAW::业务及管理费::按费用项目::其他业务成本,DETAIL,1,按费用项目,按费用项目,其他业务成本,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,24.0,中银三星2025年报__业务及管理费__20260722T090230
25,RAW::业务及管理费::按费用项目::其他费用,DETAIL,1,按费用项目,按费用项目,其他费用,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,25.0,中银三星2025年报__业务及管理费__20260722T090230
26,RAW::业务及管理费::按费用项目::合计,TOTAL,1,按费用项目,按费用项目,合计,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,26.0,中银三星2025年报__业务及管理费__20260722T090230
27,RAW::业务及管理费::按费用项目::可归属于保险合同组合的费用,CLASSIFICATION_TOTAL,1,按费用项目,按费用项目,可归属于保险合同组合的费用,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,27.0,中银三星2025年报__业务及管理费__20260722T090230
28,RAW::业务及管理费::::计入未到期责任负债的保险,SECTION_HEADER,0,,nan,计入未到期责任负债的保险,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,28.0,中银三星2025年报__业务及管理费__20260722T090230
29,RAW::业务及管理费::计入未到期责任负债的保险::获取现金流量,DETAIL,1,计入未到期责任负债的保险,计入未到期责任负债的保险,获取现金流量,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,29.0,中银三星2025年报__业务及管理费__20260722T090230
30,RAW::业务及管理费::计入未到期责任负债的保险::计入保险服务费用的金额,DETAIL,1,计入未到期责任负债的保险,计入未到期责任负债的保险,计入保险服务费用的金额,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,30.0,中银三星2025年报__业务及管理费__20260722T090230
31,RAW::业务及管理费::计入未到期责任负债的保险::不可归属于保险合同组合的费用,CLASSIFICATION_TOTAL,1,计入未到期责任负债的保险,计入未到期责任负债的保险,不可归属于保险合同组合的费用,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,31.0,中银三星2025年报__业务及管理费__20260722T090230
32,CANON::业务及管理费::按费用项目::职工工资及福利费,DETAIL,0,按费用项目,nan,职工工资及福利费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
33,CANON::业务及管理费::按费用项目::使用权资产折旧费,DETAIL,0,按费用项目,nan,使用权资产折旧费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
34,CANON::业务及管理费::按费用项目::社会统筹保险费,DETAIL,0,按费用项目,nan,社会统筹保险费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
35,CANON::业务及管理费::按费用项目::专业外包服务费,DETAIL,0,按费用项目,nan,专业外包服务费,INSERTED_FROM:中银三星2023年报__业务及管理费__20260722T090301,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2023年报__业务及管理费__20260722T090301
36,CANON::业务及管理费::按费用项目::电子设备运转费,DETAIL,0,按费用项目,nan,电子设备运转费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
37,CANON::业务及管理费::按费用项目::租赁费,DETAIL,0,按费用项目,nan,租赁费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
38,CANON::业务及管理费::按费用项目::保险保障基金,DETAIL,0,按费用项目,nan,保险保障基金,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
39,CANON::业务及管理费::按费用项目::宣传费,DETAIL,0,按费用项目,nan,宣传费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,中银三星2025年报__业务及管理费__20260722T090230,,中银三星2022年报__业务及管理费__20260722T090304
