capture_run_id,company,document_year,numeric_source_rows,mapped_or_exact_rows,unmapped_preserved_rows,mapping_coverage,project_conflict_count
中银三星2022年报__业务及管理费__20260722T090304,中银三星,2022,40,40,0,1.0,0
中银三星2023年报__业务及管理费__20260722T090301,中银三星,2023,42,42,0,1.0,0
中银三星2024年报__43_业务及管理费__20260722T090819,中银三星,2024,42,42,0,1.0,0
中银三星2025年报__业务及管理费__20260722T090230,中银三星,2025,116,0,116,0.0,0
