canonical_order,row_type,row_level,parent_section,canonical_section,canonical_item,unit,canonical_key,order_source,中银三星 | 2022 | 2021.0,中银三星 | 2022 | 2022.0,中银三星 | 2023 | 2022.0 | 本公司,中银三星 | 2023 | 2023.0 | 本集团,中银三星 | 2024 | 2023.0 | 本集团,中银三星 | 2024 | 2024.0 | 本集团,中银三星 | 2025 | 2024.0 | 本公司 | 已重述,中银三星 | 2025 | 2024.0 | 本集团 | 已重述,中银三星 | 2025 | 2025.0 | 本公司,中银三星 | 2025 | 2025.0 | 本集团
27,CLASSIFICATION_TOTAL,1,按费用项目,按费用项目,可归属于保险合同组合的费用,元,RAW::业务及管理费::按费用项目::可归属于保险合同组合的费用,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,,,,,,,2001866793.3,2001866734.36,1976619664.19,1976619664.19
29,DETAIL,1,计入未到期责任负债的保险,计入未到期责任负债的保险,获取现金流量,元,RAW::业务及管理费::计入未到期责任负债的保险::获取现金流量,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,,,,,,,1697906210.24,1697906210.24,1668932503.76,1668932503.76
30,DETAIL,1,计入未到期责任负债的保险,计入未到期责任负债的保险,计入保险服务费用的金额,元,RAW::业务及管理费::计入未到期责任负债的保险::计入保险服务费用的金额,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,,,,,,,303960583.06,303960524.12,307687160.43,307687160.43
31,CLASSIFICATION_TOTAL,1,计入未到期责任负债的保险,计入未到期责任负债的保险,不可归属于保险合同组合的费用,元,RAW::业务及管理费::计入未到期责任负债的保险::不可归属于保险合同组合的费用,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,,,,,,,-299484041.71,-281686897.64,-152631695.44,-126243099.48
32,DETAIL,0,nan,按费用项目,职工工资及福利费,元,CANON::业务及管理费::按费用项目::职工工资及福利费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,374851676.96,462796231.66,421679613.34,419512944.32,419512944.32,436431450.93,,,,
33,DETAIL,0,nan,按费用项目,使用权资产折旧费,元,CANON::业务及管理费::按费用项目::使用权资产折旧费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,45132630.19,67853129.62,67853129.62,64532850.43,64532850.43,58405985.4,,,,
34,DETAIL,0,nan,按费用项目,社会统筹保险费,元,CANON::业务及管理费::按费用项目::社会统筹保险费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,53309119.86,67330294.17,67330294.17,73994768.46,73994768.46,78392576.95,,,,
35,DETAIL,0,nan,按费用项目,专业外包服务费,元,CANON::业务及管理费::按费用项目::专业外包服务费,INSERTED_FROM:中银三星2023年报__业务及管理费__20260722T090301,,,41116618.32,38173944.02,38173944.02,14102256.18,,,,
36,DETAIL,0,nan,按费用项目,电子设备运转费,元,CANON::业务及管理费::按费用项目::电子设备运转费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,49289686.31,41063741.08,41063741.08,34906757.34,34906757.34,31117265.47,,,,
37,DETAIL,0,nan,按费用项目,租赁费,元,CANON::业务及管理费::按费用项目::租赁费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,41728632.83,38577517.66,38577517.66,34335921.9,34335921.9,34719568.93,,,,
38,DETAIL,0,nan,按费用项目,保险保障基金,元,CANON::业务及管理费::按费用项目::保险保障基金,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,28144747.02,32773167.19,32773167.19,82717386.01,82717386.01,92425918.33,,,,
39,DETAIL,0,nan,按费用项目,宣传费,元,CANON::业务及管理费::按费用项目::宣传费,INSERTED_FROM:中银三星2022年报__业务及管理费__20260722T090304,17889609.43,22288783.54,22288783.54,24592403.77,24592403.77,61250365.68,,,,
