table_id,canonical_key,canonical_section,canonical_item,company,document_year,year,scope,restated,unit,source_count,mapping_status,conflict_status,final_value,source_rows,canonical_order,row_type,row_level,parent_section,order_source,reference_capture_run_id,reference_row_order
业务及管理费,RAW::业务及管理费::按费用项目::社会统筹保险费,按费用项目,社会统筹保险费,中银三星,2025,2024.0,本公司,True,元,1,UNMAPPED_PRESERVED,OK,78392576.95,中银三星2025年报__业务及管理费__20260722T090230:p133:社会统筹保险费,5,DETAIL,1,按费用项目,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,5.0
业务及管理费,RAW::业务及管理费::按费用项目::社会统筹保险费,按费用项目,社会统筹保险费,中银三星,2025,2025.0,本集团,False,元,1,UNMAPPED_PRESERVED,OK,79538043.85,中银三星2025年报__业务及管理费__20260722T090230:p133:社会统筹保险费,5,DETAIL,1,按费用项目,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,5.0
业务及管理费,RAW::业务及管理费::按费用项目::社会统筹保险费,按费用项目,社会统筹保险费,中银三星,2025,2025.0,本公司,False,元,1,UNMAPPED_PRESERVED,OK,79538043.85,中银三星2025年报__业务及管理费__20260722T090230:p133:社会统筹保险费,5,DETAIL,1,按费用项目,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,5.0
业务及管理费,RAW::业务及管理费::按费用项目::使用权资产折旧费,按费用项目,使用权资产折旧费,中银三星,2025,2024.0,本集团,True,元,1,UNMAPPED_PRESERVED,OK,58405985.4,中银三星2025年报__业务及管理费__20260722T090230:p133:使用权资产折旧费,6,DETAIL,1,按费用项目,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,6.0
业务及管理费,RAW::业务及管理费::按费用项目::使用权资产折旧费,按费用项目,使用权资产折旧费,中银三星,2025,2024.0,本公司,True,元,1,UNMAPPED_PRESERVED,OK,58405985.4,中银三星2025年报__业务及管理费__20260722T090230:p133:使用权资产折旧费,6,DETAIL,1,按费用项目,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,6.0
业务及管理费,RAW::业务及管理费::按费用项目::使用权资产折旧费,按费用项目,使用权资产折旧费,中银三星,2025,2025.0,本集团,False,元,1,UNMAPPED_PRESERVED,OK,59630432.44,中银三星2025年报__业务及管理费__20260722T090230:p133:使用权资产折旧费,6,DETAIL,1,按费用项目,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,6.0
业务及管理费,RAW::业务及管理费::按费用项目::使用权资产折旧费,按费用项目,使用权资产折旧费,中银三星,2025,2025.0,本公司,False,元,1,UNMAPPED_PRESERVED,OK,59630432.44,中银三星2025年报__业务及管理费__20260722T090230:p133:使用权资产折旧费,6,DETAIL,1,按费用项目,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,6.0
业务及管理费,RAW::业务及管理费::按费用项目::营销培训费,按费用项目,营销培训费,中银三星,2025,2024.0,本集团,True,元,1,UNMAPPED_PRESERVED,OK,78331657.09,中银三星2025年报__业务及管理费__20260722T090230:p133:营销培训费,7,DETAIL,1,按费用项目,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,7.0
业务及管理费,RAW::业务及管理费::按费用项目::营销培训费,按费用项目,营销培训费,中银三星,2025,2024.0,本公司,True,元,1,UNMAPPED_PRESERVED,OK,78331657.09,中银三星2025年报__业务及管理费__20260722T090230:p133:营销培训费,7,DETAIL,1,按费用项目,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,7.0
业务及管理费,RAW::业务及管理费::按费用项目::营销培训费,按费用项目,营销培训费,中银三星,2025,2025.0,本集团,False,元,1,UNMAPPED_PRESERVED,OK,52565868.17,中银三星2025年报__业务及管理费__20260722T090230:p133:营销培训费,7,DETAIL,1,按费用项目,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,中银三星2025年报__业务及管理费__20260722T090230,7.0
