row_order,row_type,parent_section,raw_item,normalized_item,unit,2024,2025
1,DETAIL,,应付债券,应付债券,元,471570668.0,470259050.0
2,DETAIL,,卖出回购金融资产款,卖出回购金融资产款,元,240870612.0,413624223.0
3,TOTAL,,合计,合计,元,712441280.0,883883273.0
