normalized_item,example_raw_item,canonical_item,category,mapping_status,mapping_note
"折旧和摊销费用465,151,08026,142,163","折旧和摊销费用465,151,08026,142,163",,,UNMAPPED,
"项目寿险财产险保险服务收入6,019,301,162566,420,460","项目寿险财产险保险服务收入6,019,301,162566,420,460",,,UNMAPPED,
"利息收入4,724,553,5677,705,824","利息收入4,724,553,5677,705,824",,,UNMAPPED,
"投资收益2,640,893,58529,232,043","投资收益2,640,893,58529,232,043",,,UNMAPPED,
"其他收益6,065,7241,139,108","其他收益6,065,7241,139,108",,,UNMAPPED,
"公允价值变动损益213,681,503(15,548,452)","公允价值变动损益213,681,503(15,548,452)",,,UNMAPPED,
"汇兑损益1,454,4949,759","汇兑损益1,454,4949,759",,,UNMAPPED,
"其他业务收入34,941,612392,192","其他业务收入34,941,612392,192",,,UNMAPPED,
"资产处置收益2,290(186,332)","资产处置收益2,290(186,332)",,,UNMAPPED,
"营业总收入13,640,893,937589,164,602","营业总收入13,640,893,937589,164,602",,,UNMAPPED,
"保险服务费用(6,863,668,564)(554,916,073)","保险服务费用(6,863,668,564)(554,916,073)",,,UNMAPPED,
"分出保费的分摊(406,031,152)(55,731,563)","分出保费的分摊(406,031,152)(55,731,563)",,,UNMAPPED,
"费用87,630,07427,276,685","费用87,630,07427,276,685",,,UNMAPPED,
"承保财务损失(7,769,300,993)(5,227,870)","承保财务损失(7,769,300,993)(5,227,870)",,,UNMAPPED,
"务收益419,815,6741,413,208","务收益419,815,6741,413,208",,,UNMAPPED,
"利息支出(651,941,543)(705,980)","利息支出(651,941,543)(705,980)",,,UNMAPPED,
"支出(576,429)-","支出(576,429)-",,,UNMAPPED,
"税金及附加(60,685,575)(2,454,640)","税金及附加(60,685,575)(2,454,640)",,,UNMAPPED,
"业务及管理费(415,219,602)(11,555,387)","业务及管理费(415,219,602)(11,555,387)",,,UNMAPPED,
"信用减值损失(540,982,795)(1,584,052)","信用减值损失(540,982,795)(1,584,052)",,,UNMAPPED,
"其他业务成本(43,065,445)(1,165)","其他业务成本(43,065,445)(1,165)",,,UNMAPPED,
"营业总支出(16,244,026,350)(603,486,837)","营业总支出(16,244,026,350)(603,486,837)",,,UNMAPPED,
"营业利润(2,603,132,413)(14,322,235)","营业利润(2,603,132,413)(14,322,235)",,,UNMAPPED,
"加：营业外收入6,070,0644,184,869","加：营业外收入6,070,0644,184,869",,,UNMAPPED,
"减：营业外支出(1,943,011)(360,002)","减：营业外支出(1,943,011)(360,002)",,,UNMAPPED,
"利润总额(2,599,005,360)(10,497,368)","利润总额(2,599,005,360)(10,497,368)",,,UNMAPPED,
"-资产总额288,008,425,3451,725,570,829","-资产总额288,008,425,3451,725,570,829",,,UNMAPPED,
"负债总额281,675,227,611435,606,648","负债总额281,675,227,611435,606,648",,,UNMAPPED,
"补充资料：-资本性支出556,517,46817,583,466","补充资料：-资本性支出556,517,46817,583,466",,,UNMAPPED,
"折旧和摊销费用337,353,97527,504,767","折旧和摊销费用337,353,97527,504,767",,,UNMAPPED,
