row_order,row_type,parent_section,raw_item,normalized_item,unit,2021,2022
1,DETAIL,,职工薪酬,职工薪酬,,877505.1,902706.32
2,DETAIL,,社会保险费,社会保险费,,261593.51,293919.25
3,DETAIL,,折旧和摊销费,折旧和摊销费,,204498.59,231361.65
4,DETAIL,,行政办公支出,行政办公支出,,159913.01,125801.71
5,DETAIL,,劳动保险费,劳动保险费,,55962.92,64372.15
6,DETAIL,,保险保障基金,保险保障基金,,46687.24,55077.7
7,DETAIL,,广告及宣传费,广告及宣传费,,39055.91,49877.52
8,DETAIL,,电子设备运转费,电子设备运转费,,31050.87,36314.97
9,DETAIL,,租赁费,租赁费,,28256.84,23508.17
10,DETAIL,,监管费,监管费,,12466.15,13692.9
11,DETAIL,,车船使用费,车船使用费,,3259.73,2880.27
12,DETAIL,,其他,其他,,103903.67,99003.59
13,TOTAL,,合计,合计,,1824153.54,1898516.2
14,DETAIL,,第104页非保险合同支出,第104页非保险合同支出,,513008.69,540061.87
15,DETAIL,,债券利息支出,债券利息支出,,273329.17,274720.69
16,DETAIL,,卖出回购金融资产款利息支出,卖出回购金融资产款利息支出,,75600.09,52251.61
17,DETAIL,,租赁负债利息,租赁负债利息,,10796.32,8584.18
18,DETAIL,,其他,其他,,5356.41,2875.09
19,TOTAL,,合计,合计,,878090.68,878493.44
22,DETAIL,38.所得税费用,递延所得税,递延所得税,,-10763.94,
23,TOTAL,38.所得税费用,合计,合计,,-10763.94,
25,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,利润总额,利润总额,,304349.49,109764.3
26,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,按适用税率计算的所得税费用,按适用税率计算的所得税费用,,76087.37,27441.08
27,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,非应纳税收入(注),非应纳税收入,,-146709.82,-292666.94
28,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,不得扣除的成本、费用和损失,不得扣除的成本、费用和损失,,-1210.71,2333.55
29,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,当期未确认的可抵扣暂时性差异及可抵扣亏损的影响,当期未确认的可抵扣暂时性差异及可抵扣亏损的影响,,61069.22,262892.31
30,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,按实际税率计算的所得税费用,按实际税率计算的所得税费用,,-10763.94,
