row_order,row_type,parent_section,raw_item,normalized_item,unit,2022,2023
1,DETAIL,,工资及福利费,工资及福利费,元,1788536878.0,1679050597.0
2,DETAIL,,无形资产摊销,无形资产摊销,元,123487155.0,180577641.0
3,DETAIL,,使用权资产折旧,使用权资产折旧,元,153754901.0,147585594.0
4,DETAIL,,提取保险保障基金,提取保险保障基金,元,96691138.0,136823652.0
5,DETAIL,,修理及维护费用,修理及维护费用,元,103952695.0,100766153.0
6,DETAIL,,资产托管费,资产托管费,元,92444402.0,64109388.0
7,DETAIL,,固定资产折旧,固定资产折旧,元,66954817.0,61968932.0
8,DETAIL,,租赁费用,租赁费用,元,55367233.0,56347531.0
9,DETAIL,,培训费,培训费,元,34509669.0,54734995.0
10,DETAIL,,业务活动费,业务活动费,元,42177299.0,48214850.0
11,DETAIL,,差旅费,差旅费,元,15413220.0,31565601.0
12,DETAIL,,通讯费,通讯费,元,31134818.0,30732512.0
13,DETAIL,,专业服务费,专业服务费,元,34700464.0,29561704.0
14,DETAIL,,长期待摊费用摊销,长期待摊费用摊销,元,35562258.0,27979591.0
15,DETAIL,,广告宣传费,广告宣传费,元,24476049.0,26813297.0
16,DETAIL,,公杂费,公杂费,元,18938952.0,17642673.0
17,DETAIL,,业务招待费,业务招待费,元,20437410.0,15837268.0
18,DETAIL,,水电费,水电费,元,11244764.0,12280580.0
19,DETAIL,,租赁负债利息支出,租赁负债利息支出,元,8315377.0,9606004.0
20,DETAIL,,会议费,会议费,元,4444698.0,6298689.0
21,DETAIL,,印刷费,印刷费,元,6616015.0,5011305.0
22,DETAIL,,银行结算费,银行结算费,元,5543677.0,3602676.0
23,DETAIL,,其他税费,其他税费,元,1016349.0,1428083.0
24,DETAIL,,其他,其他,元,148325734.0,146098628.0
25,TOTAL,,合计,合计,元,2924045972.0,2894637944.0
