metric,unit,中银三星 2022,中银三星 2023,中银三星 2024,中银三星 2025
业务及管理费,元,40.0,39.0,1129207562.13,193767670.4
支付给职工以及为职工支付的现金,元,-514997301.92,-562444487.39,-547547388.33,-623040368.44
