normalized_item,example_raw_item,canonical_item,category,mapping_status,mapping_note
寿险责任准备金,寿险责任准备金,,,UNMAPPED,
长期健康险责任准备金,长期健康险责任准备金,,,UNMAPPED,
未决赔款准备金,未决赔款准备金,,,UNMAPPED,
合计,合计,,,UNMAPPED,
已发生已报案未决赔款准备金,已发生已报案未决赔款准备金,,,UNMAPPED,
已发生未报案未决赔款准备金,已发生未报案未决赔款准备金,,,UNMAPPED,
理赔费用准备金,理赔费用准备金,,,UNMAPPED,
