row_order,row_type,parent_section,raw_item,normalized_item,unit,2024,2025
95,DETAIL,处置固定资产、无形资产和其他长期,经营性应付项目的增加/(减少),经营性应付项目的增加/(减少),元,-36034127695.0,10072095081.0
96,DETAIL,处置固定资产、无形资产和其他长期,经营活动产生的现金流量净额,经营活动产生的现金流量净额,元,-4331536032.0,11041806948.0
97,DETAIL,处置固定资产、无形资产和其他长期,现金的年末余额,现金的年末余额,元,6999163241.0,8127895388.0
98,DETAIL,处置固定资产、无形资产和其他长期,减：现金的年初余额,减：现金的年初余额,元,6395299635.0,6999163241.0
99,DETAIL,处置固定资产、无形资产和其他长期,现金等价物的年末余额,现金等价物的年末余额,元,16126972411.0,11785499270.0
100,DETAIL,处置固定资产、无形资产和其他长期,减：现金等价物的年初余额,减：现金等价物的年初余额,元,15138094833.0,16126972411.0
101,DETAIL,处置固定资产、无形资产和其他长期,现金及现金等价物净(减少)/增加额,现金及现金等价物净(减少)/增加额,元,1592741184.0,-3212740994.0
103,DETAIL,43.租赁,经营租赁承诺-作为承租人租赁负债利息费用,经营租赁承诺-作为承租人租赁负债利息费用,元,5244908.0,3866224.0
105,DETAIL,计入当期损益的采用简化处理的,短期租赁费用,短期租赁费用,元,10514717.0,17929116.0
106,DETAIL,计入当期损益的采用简化处理的,与租赁相关的总现金流出,与租赁相关的总现金流出,元,93225533.0,122631825.0
117,DETAIL,七、分部报告（续）,"利息收入4,629,554,2607,664,179","利息收入4,629,554,2607,664,179",元,6.830776536443268e+16,2.668569269369777e+16
118,DETAIL,七、分部报告（续）,"投资收益5,952,751,25822,807,208","投资收益5,952,751,25822,807,208",元,,1.2992764515574678e+16
119,DETAIL,七、分部报告（续）,"其他收益5,398,231419,932","其他收益5,398,231419,932",元,-5185111.0,
121,DETAIL,七、分部报告（续）,"汇兑损益(1,952,972)8,693","汇兑损益(1,952,972)8,693",元,-1944279.0,
123,DETAIL,七、分部报告（续）,"资产处置损益-(6,739)","资产处置损益-(6,739)",元,,76207976325.0
124,DETAIL,七、分部报告（续）,"营业总收入18,705,724,278708,233,849","营业总收入18,705,724,278708,233,849",元,,8.112119208087382e+17
126,DETAIL,七、分部报告（续）,"分出保费的分摊7,438,076(70,950,897)","分出保费的分摊7,438,076(70,950,897)",元,-63512821.0,
128,DETAIL,减：摊回保险服,"务费用66,971,85018,233,564","务费用66,971,85018,233,564",元,-85205414.0,
129,DETAIL,减：摊回保险服,"承保财务损失(9,167,354,601)(6,916,927)","承保财务损失(9,167,354,601)(6,916,927)",元,-9174271528.0,
131,DETAIL,减：分出再保险,"财务收益479,266,7471,713,466","财务收益479,266,7471,713,466",元,-480980213.0,
