row_order,row_type,parent_section,raw_item,normalized_item,unit,2024 本公司,2024 本集团,2025 本公司,2025 本集团
1,DETAIL,,工资及福利费,工资及福利费,,405062799.0,450070257.0,453567201.0,494040164.0
2,DETAIL,,服务费,服务费,,91631416.0,105996040.0,84753451.0,101286372.0
3,DETAIL,,社会统筹保险费,社会统筹保险费,,81944368.0,87610784.0,77625642.0,83329553.0
4,DETAIL,,使用权资产折旧,使用权资产折旧,,75567098.0,82793640.0,71284052.0,78393646.0
5,DETAIL,,保险保障基金,保险保障基金,,58239088.0,58239088.0,60178186.0,60178186.0
6,DETAIL,,住房公积金,住房公积金,,40766927.0,43403173.0,39016663.0,41679743.0
7,DETAIL,,无形资产摊销,无形资产摊销,,22638828.0,25027417.0,27559168.0,30115595.0
8,DETAIL,,委托投资管理费,委托投资管理费,,111270206.0,21098576.0,131714353.0,27039910.0
9,DETAIL,,物业及公杂费,物业及公杂费,,24180062.0,25639882.0,19506094.0,21070225.0
10,DETAIL,,会议费,会议费,,26196352.0,26676352.0,20539707.0,20539971.0
11,DETAIL,,业务宣传费,业务宣传费,,23775248.0,23775248.0,15985558.0,16000653.0
12,DETAIL,,差旅费,差旅费,,12780518.0,13437180.0,10741171.0,11263223.0
13,DETAIL,,培训费,培训费,,16806153.0,16806153.0,10216592.0,10216592.0
14,DETAIL,,邮电费,邮电费,,7621924.0,7868483.0,9128007.0,9513452.0
15,DETAIL,,固定资产折旧,固定资产折旧,,5996147.0,6382703.0,7383834.0,8016583.0
16,DETAIL,,业务招待费,业务招待费,,8927198.0,8927438.0,3725574.0,3725574.0
17,DETAIL,,工会经费和职工教育经费,工会经费和职工教育经费,,7769055.0,8511823.0,6893727.0,7607566.0
18,DETAIL,,长期摊销费用,长期摊销费用,,6867256.0,6867256.0,4899343.0,4943763.0
19,DETAIL,,租赁费,租赁费,,84762.0,626391.0,3106577.0,3475664.0
20,DETAIL,,其他,其他,,36518666.0,41314075.0,39353175.0,43994675.0
21,DETAIL,,减：当期发生的保险获取现金流量,减：当期发生的保险获取现金流量,,-558981090.0,-558981090.0,-499786509.0,-499786509.0
22,DETAIL,,当期发生的其他保险履约现金流,当期发生的其他保险履约现金流,,-361553814.0,-361553814.0,-425932281.0,-425932281.0
23,TOTAL,,合计,合计,,144109167.0,140537055.0,171459285.0,150712320.0
24,DETAIL,,活期存款减值损失,活期存款减值损失,,9941141.0,10169907.0,3594632.0,3479625.0
25,DETAIL,,其他债权投资减值损失,其他债权投资减值损失,,10943869.0,10943869.0,40483598.0,40483598.0
26,DETAIL,,其他应收款坏账转回,其他应收款坏账转回,,-2015308.0,-2015308.0,-29022.0,-29022.0
27,DETAIL,,存出资本保证金减值损失,存出资本保证金减值损失,,1593443.0,1593443.0,167913.0,167913.0
28,DETAIL,,定期存款减值(转回)/损失,定期存款减值(转回)/损失,,19729916.0,19729916.0,-4186932.0,-4186932.0
29,DETAIL,,债权投资减值(转回)/损失,债权投资减值(转回)/损失,,157687984.0,157687984.0,-47507022.0,-46550171.0
30,DETAIL,,其他,其他,,185126.0,185126.0,993646.0,993646.0
31,TOTAL,,合计,合计,,198066171.0,198294937.0,-6483187.0,-5641343.0
33,DETAIL,36其他业务成本,合并结构化主体第三方投资人损益,合并结构化主体第三方投资人损益,,,,,144093473.0
34,DETAIL,36其他业务成本,非保险合同利息支出,非保险合同利息支出,,176261.0,176261.0,281404.0,281404.0
35,DETAIL,36其他业务成本,非保险合同手续费及佣金支出,非保险合同手续费及佣金支出,,2750085.0,2750085.0,,
36,DETAIL,36其他业务成本,其他,其他,,40597498.0,42298186.0,3261.0,110933.0
37,TOTAL,36其他业务成本,合计,合计,,43523844.0,45224532.0,284665.0,144485810.0
39,DETAIL,37所得税费用,当期所得税费用,当期所得税费用,,,10803365.0,,11096233.0
40,DETAIL,37所得税费用,递延所得税费用,递延所得税费用,,1141381528.0,1139408482.0,1059312961.0,1059243452.0
41,DETAIL,37所得税费用,以前年度汇算清缴差异,以前年度汇算清缴差异,,4404.0,13597.0,1837.0,-39681.0
42,TOTAL,37所得税费用,合计,合计,,1141385932.0,1150225444.0,1059314798.0,1070300004.0
