pdf_name,table_query,note_number,located_title,row_order,row_type,row_level,parent_section,raw_item,normalized_item,canonical_item,mapping_status,year,scope,restated,header_raw,value_raw,value,value_yuan,unit,page,header_source_page,source_method,original_unit
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,12,DETAIL,1,按费用项目,广告及宣传费,广告及宣传费,,UNMAPPED,2024.0,,False,2024,"47,629.42",47629.42,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,12,DETAIL,1,按费用项目,广告及宣传费,广告及宣传费,,UNMAPPED,2023.0,,True,2023 | (已重述),"59,859.04",59859.04,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,13,DETAIL,1,按费用项目,监管费,监管费,,UNMAPPED,2024.0,,False,2024,"13,642.75",13642.75,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,13,DETAIL,1,按费用项目,监管费,监管费,,UNMAPPED,2023.0,,True,2023 | (已重述),"15,134.30",15134.3,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,14,DETAIL,1,按费用项目,车船使用费,车船使用费,,UNMAPPED,2024.0,,False,2024,"2,605.51",2605.51,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,14,DETAIL,1,按费用项目,车船使用费,车船使用费,,UNMAPPED,2023.0,,True,2023 | (已重述),"3,012.62",3012.62,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,15,DETAIL,1,按费用项目,其他,其他,,UNMAPPED,2024.0,,False,2024,"104,735.89",104735.89,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,15,DETAIL,1,按费用项目,其他,其他,,UNMAPPED,2023.0,,True,2023 | (已重述),"97,452.32",97452.32,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,16,TOTAL,1,按费用项目,合计,合计,,UNMAPPED,2024.0,,False,2024,"4,574,770.03",4574770.03,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,16,TOTAL,1,按费用项目,合计,合计,,UNMAPPED,2023.0,,True,2023 | (已重述),"4,919,071.50",4919071.5,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,17,SECTION_HEADER,0,,可归属于保险合同组合的费用,可归属于保险合同组合的费用,,UNMAPPED,,,,,,,,,140,,spatial_roi,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,18,DETAIL,1,可归属于保险合同组合的费用,计入未到期责任负债的保险获取现金流量,计入未到期责任负债的保险获取现金流量,,UNMAPPED,2024.0,,False,2024,"3,059,685.49",3059685.49,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,18,DETAIL,1,可归属于保险合同组合的费用,计入未到期责任负债的保险获取现金流量,计入未到期责任负债的保险获取现金流量,,UNMAPPED,2023.0,,True,2023 | (已重述),"3,445,776.63",3445776.63,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,19,DETAIL,1,可归属于保险合同组合的费用,计入保险服务费用,计入保险服务费用,,UNMAPPED,2024.0,,False,2024,"466,892.08",466892.08,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,19,DETAIL,1,可归属于保险合同组合的费用,计入保险服务费用,计入保险服务费用,,UNMAPPED,2023.0,,True,2023 | (已重述),"547,543.94",547543.94,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,20,SECTION_HEADER,0,,不可归属于保险合同组合的费用,不可归属于保险合同组合的费用,,UNMAPPED,,,,,,,,,140,,spatial_roi,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,21,DETAIL,1,不可归属于保险合同组合的费用,手续费及佣金支出,手续费及佣金支出,,UNMAPPED,2024.0,,False,2024,"27,162.45",27162.45,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,21,DETAIL,1,不可归属于保险合同组合的费用,手续费及佣金支出,手续费及佣金支出,,UNMAPPED,2023.0,,True,2023 | (已重述),"22,165.92",22165.92,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,22,DETAIL,1,不可归属于保险合同组合的费用,业务及管理费,业务及管理费,,UNMAPPED,2024.0,,False,2024,"534,150.70",534150.7,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,22,DETAIL,1,不可归属于保险合同组合的费用,业务及管理费,业务及管理费,,UNMAPPED,2023.0,,True,2023 | (已重述),"523,182.84",523182.84,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,23,DETAIL,1,不可归属于保险合同组合的费用,其他业务成本,其他业务成本,,UNMAPPED,2024.0,,False,2024,"486,879.31",486879.31,,,140,,spatial_roi+column_anchors,
923258b5c33a_农银人寿2024年报.pdf,业务及管理费,,截至2024年12月31日止年度财务报表29. 业务及管理费和其他业务成本,23,DETAIL,1,不可归属于保险合同组合的费用,其他业务成本,其他业务成本,,UNMAPPED,2023.0,,True,2023 | (已重述),"380,402.17",380402.17,,,140,,spatial_roi+column_anchors,
