capture_run_id,company,document_year,table_id,pdf_name,table_query,note_number,located_title,row_order,row_type,row_level,parent_section,raw_item,normalized_item,capture_canonical_item,capture_mapping_status,year,scope,restated,header_raw,value_raw,value,value_yuan,unit,original_unit,page,header_source_page,source_method,source_key
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,4,DETAIL,0,,社会统筹保险费,社会统筹保险费,,UNMAPPED,2021.0,,False,2021.0,"69,826,086",69826086.0,,,,91,,spatial_roi+column_anchors,||社会统筹保险费
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,5,DETAIL,0,,住房公积金,住房公积金,,UNMAPPED,2022.0,,False,2022.0,"38,748,267",38748267.0,,,,91,,spatial_roi+column_anchors,||住房公积金
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,5,DETAIL,0,,住房公积金,住房公积金,,UNMAPPED,2021.0,,False,2021.0,"35,451,755",35451755.0,,,,91,,spatial_roi+column_anchors,||住房公积金
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,5,DETAIL,0,,住房公积金,住房公积金,,UNMAPPED,2022.0,,False,2022.0,"36,352,290",36352290.0,,,,91,,spatial_roi+column_anchors,||住房公积金
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,5,DETAIL,0,,住房公积金,住房公积金,,UNMAPPED,2021.0,,False,2021.0,"33,299,119",33299119.0,,,,91,,spatial_roi+column_anchors,||住房公积金
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,6,DETAIL,0,,保险保障基金,保险保障基金,,UNMAPPED,2022.0,,False,2022.0,"29,282,896",29282896.0,,,,91,,spatial_roi+column_anchors,||保险保障基金
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,6,DETAIL,0,,保险保障基金,保险保障基金,,UNMAPPED,2021.0,,False,2021.0,"26,335,143",26335143.0,,,,91,,spatial_roi+column_anchors,||保险保障基金
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,6,DETAIL,0,,保险保障基金,保险保障基金,,UNMAPPED,2022.0,,False,2022.0,"29,282,896",29282896.0,,,,91,,spatial_roi+column_anchors,||保险保障基金
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,6,DETAIL,0,,保险保障基金,保险保障基金,,UNMAPPED,2021.0,,False,2021.0,"26,335,143",26335143.0,,,,91,,spatial_roi+column_anchors,||保险保障基金
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,7,DETAIL,0,,物业及公杂费,物业及公杂费,,UNMAPPED,2022.0,,False,2022.0,"27,270,111",27270111.0,,,,91,,spatial_roi+column_anchors,||物业及公杂费
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,7,DETAIL,0,,物业及公杂费,物业及公杂费,,UNMAPPED,2021.0,,False,2021.0,"27,326,532",27326532.0,,,,91,,spatial_roi+column_anchors,||物业及公杂费
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,7,DETAIL,0,,物业及公杂费,物业及公杂费,,UNMAPPED,2022.0,,False,2022.0,"25,463,367",25463367.0,,,,91,,spatial_roi+column_anchors,||物业及公杂费
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,7,DETAIL,0,,物业及公杂费,物业及公杂费,,UNMAPPED,2021.0,,False,2021.0,"25,468,489",25468489.0,,,,91,,spatial_roi+column_anchors,||物业及公杂费
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,8,DETAIL,0,,委托投资管理费,委托投资管理费,,UNMAPPED,2022.0,,False,2022.0,"19,733,902",19733902.0,,,,91,,spatial_roi+column_anchors,||委托投资管理费
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,8,DETAIL,0,,委托投资管理费,委托投资管理费,,UNMAPPED,2021.0,,False,2021.0,"28,164,036",28164036.0,,,,91,,spatial_roi+column_anchors,||委托投资管理费
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,8,DETAIL,0,,委托投资管理费,委托投资管理费,,UNMAPPED,2022.0,,False,2022.0,"114,456,877",114456877.0,,,,91,,spatial_roi+column_anchors,||委托投资管理费
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,8,DETAIL,0,,委托投资管理费,委托投资管理费,,UNMAPPED,2021.0,,False,2021.0,"121,681,028",121681028.0,,,,91,,spatial_roi+column_anchors,||委托投资管理费
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,9,DETAIL,0,,业务宣传费,业务宣传费,,UNMAPPED,2022.0,,False,2022.0,"16,874,749",16874749.0,,,,91,,spatial_roi+column_anchors,||业务宣传费
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,交银人寿20222025业务及管理费,eb3bf997bcdc_交银人寿2022年报.pdf,业务及管理费,,48 业务及管理费,9,DETAIL,0,,业务宣传费,业务宣传费,,UNMAPPED,2021.0,,False,2021.0,"28,298,546",28298546.0,,,,91,,spatial_roi+column_anchors,||业务宣传费
