capture_run_id,company,document_year,numeric_source_rows,mapped_or_exact_rows,unmapped_preserved_rows,mapping_coverage,project_conflict_count
交银人寿2022年报__业务及管理费__20260721T162524,交银人寿,2022,88,88,0,1.0,140
交银人寿2023年报__业务及管理费__20260721T162522,交银人寿,2023,88,88,0,1.0,140
交银人寿2024年报__业务及管理费__20260721T162518,交银人寿,2024,87,80,7,0.9195402298850575,140
交银人寿2025年报__业务及管理费__20260721T162218,交银人寿,2025,92,88,4,0.9565217391304348,140
