table_id,canonical_key,canonical_section,canonical_item,company,document_year,year,scope,restated,unit,source_count,mapping_status,conflict_status,final_value,source_rows,canonical_order,row_type,row_level,parent_section,order_source,reference_capture_run_id,reference_row_order,values_found,units_found
交银人寿20222025业务及管理费,CANON::交银人寿20222025业务及管理费::::委托投资管理费,,委托投资管理费,交银人寿,2022,2021.0,,False,,2,AUTO_EXACT_IDENTITY,VALUE_CONFLICT,,交银人寿2022年报__业务及管理费__20260721T162524:p91:委托投资管理费 | 交银人寿2022年报__业务及管理费__20260721T162524:p91:委托投资管理费,,,,,,,,28164036.0 | 121681028.0,
交银人寿20222025业务及管理费,CANON::交银人寿20222025业务及管理费::::业务宣传费,,业务宣传费,交银人寿,2022,2022.0,,False,,2,AUTO_EXACT_IDENTITY,VALUE_CONFLICT,,交银人寿2022年报__业务及管理费__20260721T162524:p91:业务宣传费 | 交银人寿2022年报__业务及管理费__20260721T162524:p91:业务宣传费,,,,,,,,16874749.0 | 16868537.0,
交银人寿20222025业务及管理费,CANON::交银人寿20222025业务及管理费::::无形资产摊销,,无形资产摊销,交银人寿,2022,2022.0,,False,,2,AUTO_EXACT_IDENTITY,VALUE_CONFLICT,,交银人寿2022年报__业务及管理费__20260721T162524:p91:无形资产摊销 | 交银人寿2022年报__业务及管理费__20260721T162524:p91:无形资产摊销,,,,,,,,16677074.0 | 14803172.0,
交银人寿20222025业务及管理费,CANON::交银人寿20222025业务及管理费::::无形资产摊销,,无形资产摊销,交银人寿,2022,2021.0,,False,,2,AUTO_EXACT_IDENTITY,VALUE_CONFLICT,,交银人寿2022年报__业务及管理费__20260721T162524:p91:无形资产摊销 | 交银人寿2022年报__业务及管理费__20260721T162524:p91:无形资产摊销,,,,,,,,14015707.0 | 12743792.0,
交银人寿20222025业务及管理费,CANON::交银人寿20222025业务及管理费::::业务招待费,,业务招待费,交银人寿,2022,2022.0,,False,,2,AUTO_EXACT_IDENTITY,VALUE_CONFLICT,,交银人寿2022年报__业务及管理费__20260721T162524:p91:业务招待费 | 交银人寿2022年报__业务及管理费__20260721T162524:p91:业务招待费,,,,,,,,15801956.0 | 15720140.0,
交银人寿20222025业务及管理费,CANON::交银人寿20222025业务及管理费::::业务招待费,,业务招待费,交银人寿,2022,2021.0,,False,,2,AUTO_EXACT_IDENTITY,VALUE_CONFLICT,,交银人寿2022年报__业务及管理费__20260721T162524:p91:业务招待费 | 交银人寿2022年报__业务及管理费__20260721T162524:p91:业务招待费,,,,,,,,25419815.0 | 25236194.0,
交银人寿20222025业务及管理费,CANON::交银人寿20222025业务及管理费::::会议费,,会议费,交银人寿,2022,2022.0,,False,,2,AUTO_EXACT_IDENTITY,VALUE_CONFLICT,,交银人寿2022年报__业务及管理费__20260721T162524:p91:会议费 | 交银人寿2022年报__业务及管理费__20260721T162524:p91:会议费,,,,,,,,10339761.0 | 9859761.0,
交银人寿20222025业务及管理费,CANON::交银人寿20222025业务及管理费::::会议费,,会议费,交银人寿,2022,2021.0,,False,,2,AUTO_EXACT_IDENTITY,VALUE_CONFLICT,,交银人寿2022年报__业务及管理费__20260721T162524:p91:会议费 | 交银人寿2022年报__业务及管理费__20260721T162524:p91:会议费,,,,,,,,12373546.0 | 11881681.0,
交银人寿20222025业务及管理费,CANON::交银人寿20222025业务及管理费::::软件维护修理费,,软件维护修理费,交银人寿,2022,2022.0,,False,,2,AUTO_EXACT_IDENTITY,VALUE_CONFLICT,,交银人寿2022年报__业务及管理费__20260721T162524:p91:软件维护修理费 | 交银人寿2022年报__业务及管理费__20260721T162524:p91:软件维护修理费,,,,,,,,9508847.0 | 8938145.0,
交银人寿20222025业务及管理费,CANON::交银人寿20222025业务及管理费::::软件维护修理费,,软件维护修理费,交银人寿,2022,2021.0,,False,,2,AUTO_EXACT_IDENTITY,VALUE_CONFLICT,,交银人寿2022年报__业务及管理费__20260721T162524:p91:软件维护修理费 | 交银人寿2022年报__业务及管理费__20260721T162524:p91:软件维护修理费,,,,,,,,8019790.0 | 7720870.0,
交银人寿20222025业务及管理费,CANON::交银人寿20222025业务及管理费::::工会经费和职工教育经费,,工会经费和职工教育经费,交银人寿,2022,2022.0,,False,,2,AUTO_EXACT_IDENTITY,VALUE_CONFLICT,,交银人寿2022年报__业务及管理费__20260721T162524:p91:工会经费和职工教育经费 | 交银人寿2022年报__业务及管理费__20260721T162524:p91:工会经费和职工教育经费,,,,,,,,8139837.0 | 7227635.0,
交银人寿20222025业务及管理费,CANON::交银人寿20222025业务及管理费::::工会经费和职工教育经费,,工会经费和职工教育经费,交银人寿,2022,2021.0,,False,,2,AUTO_EXACT_IDENTITY,VALUE_CONFLICT,,交银人寿2022年报__业务及管理费__20260721T162524:p91:工会经费和职工教育经费 | 交银人寿2022年报__业务及管理费__20260721T162524:p91:工会经费和职工教育经费,,,,,,,,7453815.0 | 6442205.0,
交银人寿20222025业务及管理费,CANON::交银人寿20222025业务及管理费::::长期摊销费用,,长期摊销费用,交银人寿,2022,2021.0,,False,,2,AUTO_EXACT_IDENTITY,VALUE_CONFLICT,,交银人寿2022年报__业务及管理费__20260721T162524:p91:长期摊销费用 | 交银人寿2022年报__业务及管理费__20260721T162524:p91:长期摊销费用,,,,,,,,7201878.0 | 6602067.0,
