normalized_item,example_raw_item,canonical_item,category,mapping_status,mapping_note
工资及福利费,工资及福利费,,,UNMAPPED,
使用权资产折旧,使用权资产折旧,,,UNMAPPED,
无形资产摊销,无形资产摊销,,,UNMAPPED,
修理及维护费用,修理及维护费用,,,UNMAPPED,
提取保险保障基金,提取保险保障基金,,,UNMAPPED,
资产托管费,资产托管费,,,UNMAPPED,
固定资产折旧,固定资产折旧,,,UNMAPPED,
租赁费用,租赁费用,,,UNMAPPED,
业务活动费,业务活动费,,,UNMAPPED,
长期待摊费用摊销,长期待摊费用摊销,,,UNMAPPED,
专业服务费,专业服务费,,,UNMAPPED,
培训费,培训费,,,UNMAPPED,
通讯费,通讯费,,,UNMAPPED,
广告宣传费,广告宣传费,,,UNMAPPED,
业务招待费,业务招待费,,,UNMAPPED,
公杂费,公杂费,,,UNMAPPED,
差旅费,差旅费,,,UNMAPPED,
水电费,水电费,,,UNMAPPED,
租赁负债利息支出,租赁负债利息支出,,,UNMAPPED,
印刷费,印刷费,,,UNMAPPED,
银行结算费,银行结算费,,,UNMAPPED,
会议费,会议费,,,UNMAPPED,
其他税费,其他税费,,,UNMAPPED,
其他,其他,,,UNMAPPED,
合计,合计,,,UNMAPPED,
