normalized_item,example_raw_item,canonical_item,category,mapping_status,mapping_note
应付债券,应付债券,,,UNMAPPED,
卖出回购金融资产款,卖出回购金融资产款,,,UNMAPPED,
合计,合计,,,UNMAPPED,
