capture_run_id,company,document_year,numeric_source_rows,mapped_or_exact_rows,unmapped_preserved_rows,mapping_coverage,project_conflict_count
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,26,22,4,0.8461538461538461,0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,24,22,2,0.9166666666666666,0
农银人寿2024年报__业务及管理费__20260721T161644,农银人寿,2024,30,30,0,1.0,0
农银人寿2025年报__业务及管理费__20260721T161648,农银人寿,2025,30,30,0,1.0,0
