conflict_type,capture_run_id,canonical_key,reference_predecessor_key,first_row_order,duplicate_row_order,detail
ORDER_CONFLICT,农银人寿2023年报__业务及管理费__20260721T161604,CANON::业务及管理费::::广告及宣传费,CANON::业务及管理费::::电子设备运转费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,农银人寿2025年报__业务及管理费__20260721T161648,CANON::业务及管理费::按费用项目::行政办公支出,CANON::业务及管理费::按费用项目::保险保障基金,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,农银人寿2025年报__业务及管理费__20260721T161648,CANON::业务及管理费::按费用项目::劳动保险费,CANON::业务及管理费::按费用项目::保险保障基金,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,农银人寿2025年报__业务及管理费__20260721T161648,CANON::业务及管理费::按费用项目::租赁费,CANON::业务及管理费::按费用项目::广告及宣传费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
