capture_run_id,company,document_year,table_id,pdf_name,table_query,note_number,located_title,row_order,row_type,row_level,parent_section,raw_item,normalized_item,capture_canonical_item,capture_mapping_status,year,scope,restated,header_raw,value_raw,value,value_yuan,unit,original_unit,page,header_source_page,source_method,source_key,canonical_section,canonical_item,category,mapping_status,mapping_note,canonical_key,canonical_order,row_type_order,row_level_order,parent_section_order,order_source,reference_capture_run_id,reference_row_order
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",6,DETAIL,0,,保险保障基金,保险保障基金,,UNMAPPED,2022.0,,False,2022.0,"55,077.70",55077.7,,,,106,,spatial_roi+column_anchors,||保险保障基金,,保险保障基金,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::保险保障基金,7,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,6.0
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",6,DETAIL,0,,保险保障基金,保险保障基金,,UNMAPPED,2021.0,,False,2021.0,"46,687.24",46687.24,,,,106,,spatial_roi+column_anchors,||保险保障基金,,保险保障基金,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::保险保障基金,7,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,6.0
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",7,DETAIL,0,,广告及宣传费,广告及宣传费,,UNMAPPED,2022.0,,False,2022.0,"49,877.52",49877.52,,,,106,,spatial_roi+column_anchors,||广告及宣传费,,广告及宣传费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::广告及宣传费,8,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,7.0
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",7,DETAIL,0,,广告及宣传费,广告及宣传费,,UNMAPPED,2021.0,,False,2021.0,"39,055.91",39055.91,,,,106,,spatial_roi+column_anchors,||广告及宣传费,,广告及宣传费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::广告及宣传费,8,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,7.0
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",8,DETAIL,0,,电子设备运转费,电子设备运转费,,UNMAPPED,2022.0,,False,2022.0,"36,314.97",36314.97,,,,106,,spatial_roi+column_anchors,||电子设备运转费,,电子设备运转费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::电子设备运转费,9,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,8.0
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",8,DETAIL,0,,电子设备运转费,电子设备运转费,,UNMAPPED,2021.0,,False,2021.0,"31,050.87",31050.87,,,,106,,spatial_roi+column_anchors,||电子设备运转费,,电子设备运转费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::电子设备运转费,9,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,8.0
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",9,DETAIL,0,,租赁费,租赁费,,UNMAPPED,2022.0,,False,2022.0,"23,508.17",23508.17,,,,106,,spatial_roi+column_anchors,||租赁费,,租赁费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::租赁费,10,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,9.0
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",9,DETAIL,0,,租赁费,租赁费,,UNMAPPED,2021.0,,False,2021.0,"28,256.84",28256.84,,,,106,,spatial_roi+column_anchors,||租赁费,,租赁费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::租赁费,10,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,9.0
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",10,DETAIL,0,,监管费,监管费,,UNMAPPED,2022.0,,False,2022.0,"13,692.90",13692.9,,,,106,,spatial_roi+column_anchors,||监管费,,监管费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::监管费,11,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,10.0
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",10,DETAIL,0,,监管费,监管费,,UNMAPPED,2021.0,,False,2021.0,"12,466.15",12466.15,,,,106,,spatial_roi+column_anchors,||监管费,,监管费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::监管费,11,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,10.0
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",11,DETAIL,0,,车船使用费,车船使用费,,UNMAPPED,2022.0,,False,2022.0,"2,880.27",2880.27,,,,106,,spatial_roi+column_anchors,||车船使用费,,车船使用费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::车船使用费,12,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,11.0
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",11,DETAIL,0,,车船使用费,车船使用费,,UNMAPPED,2021.0,,False,2021.0,"3,259.73",3259.73,,,,106,,spatial_roi+column_anchors,||车船使用费,,车船使用费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::车船使用费,12,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,11.0
农银人寿2022年报__业务及管理费__20260721T161445,农银人寿,2022,业务及管理费,4a62c9b2936b_农银人寿2022年报.pdf,业务及管理费,,"合计 (21,900.60) (10,610.51)36. 业务及管理费",12,DETAIL,0,,其他,其他,,UNMAPPED,2022.0,,False,2022.0,"99,003.59",99003.59,,,,106,,spatial_roi+column_anchors,||其他,,其他,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::其他,13,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,12.0
