capture_run_id,company,document_year,table_id,pdf_name,table_query,note_number,located_title,row_order,row_type,row_level,parent_section,raw_item,normalized_item,capture_canonical_item,capture_mapping_status,year,scope,restated,header_raw,value_raw,value,value_yuan,unit,original_unit,page,header_source_page,source_method,source_key,canonical_section,canonical_item,category,mapping_status,mapping_note,canonical_key
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",6,DETAIL,0,,资产托管费,资产托管费,,UNMAPPED,2022.0,,False,2022.0,"92,444,402",92444402.0,,,,144,,spatial_roi+column_anchors,||资产托管费,,资产托管费,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::资产托管费
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",6,DETAIL,0,,资产托管费,资产托管费,,UNMAPPED,2021.0,,False,2021.0,"106,275,812",106275812.0,,,,144,,spatial_roi+column_anchors,||资产托管费,,资产托管费,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::资产托管费
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",7,DETAIL,0,,固定资产折旧,固定资产折旧,,UNMAPPED,2022.0,,False,2022.0,"66,954,817",66954817.0,,,,144,,spatial_roi+column_anchors,||固定资产折旧,,固定资产折旧,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::固定资产折旧
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",7,DETAIL,0,,固定资产折旧,固定资产折旧,,UNMAPPED,2021.0,,False,2021.0,"68,760,234",68760234.0,,,,144,,spatial_roi+column_anchors,||固定资产折旧,,固定资产折旧,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::固定资产折旧
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",8,DETAIL,0,,租赁费用,租赁费用,,UNMAPPED,2022.0,,False,2022.0,"55,367,233",55367233.0,,,,144,,spatial_roi+column_anchors,||租赁费用,,租赁费用,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::租赁费用
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",8,DETAIL,0,,租赁费用,租赁费用,,UNMAPPED,2021.0,,False,2021.0,"59,179,126",59179126.0,,,,144,,spatial_roi+column_anchors,||租赁费用,,租赁费用,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::租赁费用
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",9,DETAIL,0,,业务活动费,业务活动费,,UNMAPPED,2022.0,,False,2022.0,"42,177,299",42177299.0,,,,144,,spatial_roi+column_anchors,||业务活动费,,业务活动费,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::业务活动费
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",9,DETAIL,0,,业务活动费,业务活动费,,UNMAPPED,2021.0,,False,2021.0,"43,598,997",43598997.0,,,,144,,spatial_roi+column_anchors,||业务活动费,,业务活动费,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::业务活动费
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",10,DETAIL,0,,长期待摊费用摊销,长期待摊费用摊销,,UNMAPPED,2022.0,,False,2022.0,"35,562,258",35562258.0,,,,144,,spatial_roi+column_anchors,||长期待摊费用摊销,,长期待摊费用摊销,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::长期待摊费用摊销
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",10,DETAIL,0,,长期待摊费用摊销,长期待摊费用摊销,,UNMAPPED,2021.0,,False,2021.0,"35,502,652",35502652.0,,,,144,,spatial_roi+column_anchors,||长期待摊费用摊销,,长期待摊费用摊销,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::长期待摊费用摊销
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",11,DETAIL,0,,专业服务费,专业服务费,,UNMAPPED,2022.0,,False,2022.0,"34,700,464",34700464.0,,,,144,,spatial_roi+column_anchors,||专业服务费,,专业服务费,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::专业服务费
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",11,DETAIL,0,,专业服务费,专业服务费,,UNMAPPED,2021.0,,False,2021.0,"38,418,023",38418023.0,,,,144,,spatial_roi+column_anchors,||专业服务费,,专业服务费,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::专业服务费
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",12,DETAIL,0,,培训费,培训费,,UNMAPPED,2022.0,,False,2022.0,"34,509,669",34509669.0,,,,144,,spatial_roi+column_anchors,||培训费,,培训费,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::培训费
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",12,DETAIL,0,,培训费,培训费,,UNMAPPED,2021.0,,False,2021.0,"42,309,627",42309627.0,,,,144,,spatial_roi+column_anchors,||培训费,,培训费,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::培训费
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",13,DETAIL,0,,通讯费,通讯费,,UNMAPPED,2022.0,,False,2022.0,"31,134,818",31134818.0,,,,144,,spatial_roi+column_anchors,||通讯费,,通讯费,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::通讯费
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",13,DETAIL,0,,通讯费,通讯费,,UNMAPPED,2021.0,,False,2021.0,"30,938,213",30938213.0,,,,144,,spatial_roi+column_anchors,||通讯费,,通讯费,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::通讯费
建信人寿2022年报__业务及管理费__20260721T155348,建信人寿,2022,建信人寿业务及管理费20222025,e7eec2489f81_建信人寿2022年报.pdf,业务及管理费,,"合计 4,051,761,120 3,369,170,56749. 业务及管理费",14,DETAIL,0,,广告宣传费,广告宣传费,,UNMAPPED,2022.0,,False,2022.0,"24,476,049",24476049.0,,,,144,,spatial_roi+column_anchors,||广告宣传费,,广告宣传费,,AUTO_EXACT_IDENTITY,,CANON::建信人寿业务及管理费20222025::::广告宣传费
