source_key,parent_section,normalized_item,occurrences,capture_count,companies,example_raw_items,suggested_canonical_section,suggested_canonical_item,suggestion_score,canonical_section,canonical_item,category,mapping_status,mapping_note
||工资及福利费,,工资及福利费,8,4,建信人寿,工资及福利费,,,,,工资及福利费,,AUTO_EXACT_IDENTITY,
||使用权资产折旧,,使用权资产折旧,4,2,建信人寿,使用权资产折旧,,,,,使用权资产折旧,,AUTO_EXACT_IDENTITY,
||无形资产摊销,,无形资产摊销,4,2,建信人寿,无形资产摊销,,,,,无形资产摊销,,AUTO_EXACT_IDENTITY,
||修理及维护费用,,修理及维护费用,4,2,建信人寿,修理及维护费用,,,,,修理及维护费用,,AUTO_EXACT_IDENTITY,
||提取保险保障基金,,提取保险保障基金,8,4,建信人寿,提取保险保障基金,,,,,提取保险保障基金,,AUTO_EXACT_IDENTITY,
||资产托管费,,资产托管费,8,4,建信人寿,资产托管费,,,,,资产托管费,,AUTO_EXACT_IDENTITY,
||固定资产折旧,,固定资产折旧,4,2,建信人寿,固定资产折旧,,,,,固定资产折旧,,AUTO_EXACT_IDENTITY,
||租赁费用,,租赁费用,4,2,建信人寿,租赁费用,,,,,租赁费用,,AUTO_EXACT_IDENTITY,
||业务活动费,,业务活动费,8,4,建信人寿,业务活动费,,,,,业务活动费,,AUTO_EXACT_IDENTITY,
||长期待摊费用摊销,,长期待摊费用摊销,4,2,建信人寿,长期待摊费用摊销,,,,,长期待摊费用摊销,,AUTO_EXACT_IDENTITY,
||专业服务费,,专业服务费,8,4,建信人寿,专业服务费,,,,,专业服务费,,AUTO_EXACT_IDENTITY,
||培训费,,培训费,8,4,建信人寿,培训费,,,,,培训费,,AUTO_EXACT_IDENTITY,
||通讯费,,通讯费,4,2,建信人寿,通讯费,,,,,通讯费,,AUTO_EXACT_IDENTITY,
||广告宣传费,,广告宣传费,8,4,建信人寿,广告宣传费,,,,,广告宣传费,,AUTO_EXACT_IDENTITY,
||业务招待费,,业务招待费,8,4,建信人寿,业务招待费,,,,,业务招待费,,AUTO_EXACT_IDENTITY,
||公杂费,,公杂费,4,2,建信人寿,公杂费,,,,,公杂费,,AUTO_EXACT_IDENTITY,
||差旅费,,差旅费,8,4,建信人寿,差旅费,,,,,差旅费,,AUTO_EXACT_IDENTITY,
||水电费,,水电费,4,2,建信人寿,水电费,,,,,水电费,,AUTO_EXACT_IDENTITY,
||租赁负债利息支出,,租赁负债利息支出,4,2,建信人寿,租赁负债利息支出,,,,,租赁负债利息支出,,AUTO_EXACT_IDENTITY,
||印刷费,,印刷费,4,2,建信人寿,印刷费,,,,,印刷费,,AUTO_EXACT_IDENTITY,
||银行结算费,,银行结算费,4,2,建信人寿,银行结算费,,,,,银行结算费,,AUTO_EXACT_IDENTITY,
||会议费,,会议费,4,2,建信人寿,会议费,,,,,会议费,,AUTO_EXACT_IDENTITY,
||其他税费,,其他税费,4,2,建信人寿,其他税费,,,,,其他税费,,AUTO_EXACT_IDENTITY,
||其他,,其他,8,4,建信人寿,其他,,,,,其他,,AUTO_EXACT_IDENTITY,
||合计,,合计,10,4,建信人寿,合计,,,,,合计,,AUTO_EXACT_IDENTITY,
||资产折旧及摊销,,资产折旧及摊销,4,2,建信人寿,资产折旧及摊销,,,,,资产折旧及摊销,,AUTO_EXACT_IDENTITY,
||运营费用,,运营费用,4,2,建信人寿,运营费用,,,,,运营费用,,AUTO_EXACT_IDENTITY,
||计算机相关费用,,计算机相关费用,4,2,建信人寿,计算机相关费用,,,,,计算机相关费用,,AUTO_EXACT_IDENTITY,
||房屋相关费用,,房屋相关费用,4,2,建信人寿,房屋相关费用,,,,,房屋相关费用,,AUTO_EXACT_IDENTITY,
||监管费,,监管费,4,2,建信人寿,监管费,,,,,监管费,,AUTO_EXACT_IDENTITY,
||租赁费用及租赁负债利息支出,,租赁费用及租赁负债利息支出,4,2,建信人寿,租赁费用及租赁负债利息支出,,,,,租赁费用及租赁负债利息支出,,AUTO_EXACT_IDENTITY,
||小计,,小计,4,2,建信人寿,小计,,,,,小计,,AUTO_EXACT_IDENTITY,
||减：当期发生的保险获取现金流量,,减：当期发生的保险获取现金流量,4,2,建信人寿,减：当期发生的保险获取现金流量,,,,,减：当期发生的保险获取现金流量,,AUTO_EXACT_IDENTITY,
||当期发生的其他保险履约现金流,,当期发生的其他保险履约现金流,4,2,建信人寿,当期发生的其他保险履约现金流,,,,,当期发生的其他保险履约现金流,,AUTO_EXACT_IDENTITY,
||88债权投资减值损失,,88债权投资减值损失,2,1,建信人寿,88债权投资减值损失,,其他债权投资减值损失,0.8,,88债权投资减值损失,,UNMAPPED_PRESERVED,
||其他债权投资减值损失,,其他债权投资减值损失,2,1,建信人寿,其他债权投资减值损失,,88债权投资减值损失,0.8,,其他债权投资减值损失,,UNMAPPED_PRESERVED,
||定期存款减值损失,,定期存款减值损失,2,1,建信人寿,定期存款减值损失,,,,,定期存款减值损失,,UNMAPPED_PRESERVED,
||其他信用减值损失,,其他信用减值损失,2,1,建信人寿,其他信用减值损失,,,,,其他信用减值损失,,UNMAPPED_PRESERVED,
