table_id,canonical_key,canonical_section,canonical_item,company,document_year,year,scope,restated,unit,source_count,mapping_status,conflict_status,final_value,source_rows
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::培训费,,培训费,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,42309627.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:培训费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::通讯费,,通讯费,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,31134818.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:通讯费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::通讯费,,通讯费,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,30938213.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:通讯费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::广告宣传费,,广告宣传费,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,24476049.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:广告宣传费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::广告宣传费,,广告宣传费,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,32713363.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:广告宣传费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::业务招待费,,业务招待费,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,20437410.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:业务招待费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::业务招待费,,业务招待费,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,35047382.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:业务招待费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::公杂费,,公杂费,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,18938952.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:公杂费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::公杂费,,公杂费,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,18071042.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:公杂费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::差旅费,,差旅费,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,15413220.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:差旅费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::差旅费,,差旅费,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,26765551.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:差旅费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::水电费,,水电费,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,11244764.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:水电费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::水电费,,水电费,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,8814545.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:水电费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::租赁负债利息支出,,租赁负债利息支出,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,8315377.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:租赁负债利息支出
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::租赁负债利息支出,,租赁负债利息支出,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,7047723.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:租赁负债利息支出
